table,record_id,label,buddhist_relevance,scope,period_band,connection_type,movement_status,exchange_types,rationale
PEOPLE,P-0021,Wonpyo,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Unified Silla monk; India via Tang
PEOPLE,P-0022,Hyŏnyu,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,studied,RELIGIOUS,Goguryeo monk ordained in Sri Lanka (South Asian Buddhist world; not mainland India)
PEOPLE,P-0023,Dhyānabhadra,PRIMARY,KEEP,B2 Silla/Goryeo (900-1392),PHYSICAL_MOVEMENT; INSTITUTIONAL; PERSON_ENCOUNTER,worked,RELIGIOUS;INTELLECTUAL;CULTURAL,Flagship record: last great Indian monk in Korea; Nalanda -> Goryeo; founded Hoeamsa 1328; Naong's teacher
PEOPLE,P-0024,Naong Hyegeun,PRIMARY,KEEP,B2 Silla/Goryeo (900-1392),PERSON_ENCOUNTER,-,RELIGIOUS,Goryeo Seon master; personal transmission from Indian master Jikong
PEOPLE,P-0025,Yi Su-gwang,NONE,EXCLUDE,B3 Joseon (1392-1900),INDIRECT_INFLUENCE,-,INTELLECTUAL;CULTURAL,"Joseon encyclopedist; India via Ming geography, not Buddhist"
PEOPLE,P-0026,Yi Kyu-gyŏng,NONE,EXCLUDE,B3 Joseon (1392-1900),INDIRECT_INFLUENCE,-,INTELLECTUAL,India entries unverified; not Buddhist
PEOPLE,P-0027,Ch'oe Han-gi,NONE,EXCLUDE,B3 Joseon (1392-1900),INDIRECT_INFLUENCE,-,INTELLECTUAL;CULTURAL,Silhak world geography; not Buddhist
PEOPLE,P-0028,Yi Nŭng-hwa,SECONDARY,ADAPT,B4 Modern/colonial (1900-1945),TEXTUAL_TRANSMISSION,-,RELIGIOUS;INTELLECTUAL;ACADEMIC,"Father of Korean religious studies; Choson Pulgyo T'ongsa (1918) - scholar of Buddhism, not a practitioner"
PEOPLE,P-0029,Ch'oe Nam-sŏn,SECONDARY,ADAPT,B4 Modern/colonial (1900-1945),TEXTUAL_TRANSMISSION; PERSON_ENCOUNTER,-,RELIGIOUS;INTELLECTUAL;CULTURAL,Wrote Choson Pulgyo (1930) arguing Buddhism reached Korea directly from India; nationalist framing; Tagore meeting 1916
PEOPLE,P-0030,Rabindranath Tagore,MEDIATOR,ADAPT,B4 Modern/colonial (1900-1945),INDIRECT_INFLUENCE; PERSON_ENCOUNTER,planned,LITERARY;CULTURAL;POLITICAL,"Channel figure: Lamp of the East (1929) invoked Korea's Buddhist heritage; influenced Han Yong-un; Seoul visit planned 1929, never made"
PEOPLE,P-0031,Chin Hak-mun,CONTEXTUAL,CONTEXT,B4 Modern/colonial (1900-1945),PERSON_ENCOUNTER,-,LITERARY;POLITICAL,Tagore circle; literary meeting in Japan (context row)
PEOPLE,P-0032,Kim Ŏk,CONTEXTUAL,CONTEXT,B4 Modern/colonial (1900-1945),TEXTUAL_TRANSMISSION,-,LITERARY;LINGUISTIC,Tagore translator; literary (context row)
PEOPLE,P-0033,Jeong Ji-yong,CONTEXTUAL,CONTEXT,B4 Modern/colonial (1900-1945),TEXTUAL_TRANSMISSION,-,LITERARY;LINGUISTIC,Tagore translator; literary (context row)
PEOPLE,P-0034,Han Yong-un,PRIMARY,KEEP,B4 Modern/colonial (1900-1945),INDIRECT_INFLUENCE; TEXTUAL_TRANSMISSION,-,LITERARY;RELIGIOUS;POLITICAL,Buddhist monk-poet (PRIMARY identity); India link via Tagore's spiritual lyricism (literary-religious reception with critical distance)
PEOPLE,P-0035,Yi Kwang-su,CONTEXTUAL,CONTEXT,B4 Modern/colonial (1900-1945),INDIRECT_INFLUENCE,-,LITERARY;INTELLECTUAL,Novelist; Tagore review; 1930s Buddhist conversion not tied to India (context row)
PEOPLE,P-0036,Chu Yo-han,CONTEXTUAL,CONTEXT,B4 Modern/colonial (1900-1945),TEXTUAL_TRANSMISSION,-,LITERARY;LINGUISTIC,Tagore message translator; literary (context row)
PEOPLE,P-0037,Ham Sok-hon,CONTEXTUAL,CONTEXT,B5 1945-1990,INDIRECT_INFLUENCE,-,POLITICAL;INTELLECTUAL;RELIGIOUS,Quaker 'Korean Gandhi'; Gandhi channel but non-Buddhist (context row)
PEOPLE,P-0038,Mohandas Karamchand Gandhi,MEDIATOR,ADAPT,B4 Modern/colonial (1900-1945),INDIRECT_INFLUENCE,-,POLITICAL;INTELLECTUAL,Channel figure: Gandhi's words open Popchong's Muso-yu; influence on Korea's independence movement
PEOPLE,P-0039,Jawaharlal Nehru,NONE,EXCLUDE,B5 1945-1990,INDIRECT_INFLUENCE,-,DIPLOMATIC;POLITICAL;MILITARY,PM of India; diplomatic
PEOPLE,P-0040,Vengalil Krishnan Krishna Menon,NONE,EXCLUDE,B5 1945-1990,INDIRECT_INFLUENCE,-,DIPLOMATIC;POLITICAL,Diplomat; UN Korea policy
PEOPLE,P-0041,Kavalam Madhava Panikkar,NONE,EXCLUDE,B5 1945-1990,INDIRECT_INFLUENCE,-,DIPLOMATIC;POLITICAL,Ambassador; Korean War diplomacy
PEOPLE,P-0042,Kumara Padmanabha Sivasankara Menon,NONE,EXCLUDE,B5 1945-1990,PHYSICAL_MOVEMENT,worked,DIPLOMATIC;POLITICAL,UNTCOK chairman; electoral mission
PEOPLE,P-0043,Kodandera Subayya Thimayya,NONE,EXCLUDE,B5 1945-1990,PHYSICAL_MOVEMENT,worked,MILITARY;DIPLOMATIC;HUMANITARIAN,NNRC chairman; military
PEOPLE,P-0044,S. P. P. Thorat,NONE,EXCLUDE,B5 1945-1990,PHYSICAL_MOVEMENT,worked,MILITARY;DIPLOMATIC;HUMANITARIAN,ICF commander; military
PEOPLE,P-0045,B. N. Chakravarty,NONE,EXCLUDE,B5 1945-1990,PHYSICAL_MOVEMENT,worked,DIPLOMATIC;MILITARY,NNRC alternate chairman; military-diplomatic
PEOPLE,P-0046,A. G. Rangaraj,NONE,EXCLUDE,B5 1945-1990,PHYSICAL_MOVEMENT,worked,MILITARY;HUMANITARIAN,60 PFA commander; military-medical
PEOPLE,P-0047,Syed Muzaffar Aga,NONE,EXCLUDE,B5 1945-1990,PHYSICAL_MOVEMENT,worked,DIPLOMATIC;POLITICAL,First Indian ambassador to the ROK
PEOPLE,P-0048,Park Chan-hyun,NONE,EXCLUDE,B5 1945-1990,PHYSICAL_MOVEMENT,worked,DIPLOMATIC;POLITICAL,First ROK ambassador to India
PEOPLE,P-0049,Kim Woo-choong,NONE,EXCLUDE,B6 1990-2026,PHYSICAL_MOVEMENT,visited,ECONOMIC,Daewoo chairman; economic
PEOPLE,P-0050,Lee Kun-hee,NONE,EXCLUDE,B6 1990-2026,INDIRECT_INFLUENCE,-,ECONOMIC,Samsung chairman; corporate only (personal travel unverified)
PEOPLE,P-0051,Ko Un,SECONDARY,ADAPT,B6 1990-2026,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,visited,LITERARY;ACADEMIC,"Poet, ordained monk 1952-62; India travels 1990s/2019; Little Pilgrim (Buddha novel)"
PEOPLE,P-0052,Pŏpchŏng,PRIMARY,KEEP,B5 1945-1990,PHYSICAL_MOVEMENT; PERSON_ENCOUNTER,visited,RELIGIOUS;LITERARY;INTELLECTUAL,"Monk-essayist; 1971 India pilgrimage, met Vinoba Bhave; Muso-yu"
PEOPLE,P-0053,Lokesh Chandra,PRIMARY,KEEP,B6 1990-2026,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,visited,ACADEMIC;CULTURAL;RELIGIOUS,Career Buddhist-studies Indologist; India-Korea interflow monograph; Seoul 2016
PEOPLE,P-0054,Jung Seung-suk,SECONDARY,ADAPT,B6 1990-2026,TEXTUAL_TRANSMISSION,-,ACADEMIC;INTELLECTUAL,"Korean scholar of Indian/Buddhist philosophy (domestic academic tradition, not India-trained)"
PEOPLE,P-0055,U Myeong-ju,PRIMARY,KEEP,B6 1990-2026,PHYSICAL_MOVEMENT; INSTITUTIONAL,studied,ACADEMIC;LINGUISTIC;JOURNALISM,Lay Buddhist-studies scholar; Delhi University MA/PhD; Korean lecturer at DU
PEOPLE,P-0056,Lee Jeong-ho,NONE,EXCLUDE,B6 1990-2026,PHYSICAL_MOVEMENT,studied,ACADEMIC;LINGUISTIC;LITERARY,Hindi professor/translator; not Buddhist
PEOPLE,P-0057,Pankaj Mohan,NONE,EXCLUDE,B6 1990-2026,PHYSICAL_MOVEMENT,worked,ACADEMIC;INTELLECTUAL,Korean-studies scholar; not Buddhist
PEOPLE,P-0058,Neerja Samajdar,NONE,EXCLUDE,B6 1990-2026,PHYSICAL_MOVEMENT,studied,ACADEMIC;LINGUISTIC,Korean-language pedagogue; not Buddhist
PEOPLE,P-0059,Kaushal Kumar,CONTEXTUAL,CONTEXT,B6 1990-2026,PHYSICAL_MOVEMENT,studied,ACADEMIC,Korean-studies scholar; co-editor of partly-Buddhist India-Korea survey (context row)
PEOPLE,P-0060,Ravikesh,NONE,EXCLUDE,B6 1990-2026,TEXTUAL_TRANSMISSION,-,ACADEMIC,Korean-studies scholar; not Buddhist
PEOPLE,P-0061,Vyjayanti Raghavan,CONTEXTUAL,CONTEXT,B6 1990-2026,PHYSICAL_MOVEMENT,studied,ACADEMIC;LINGUISTIC;CULTURAL,"Korean studies; cultural-religious history, not Buddhist-specific (context row)"
PEOPLE,P-0062,Buddhavara (Ven.),PRIMARY,KEEP,B6 1990-2026,PHYSICAL_MOVEMENT; INSTITUTIONAL,worked,RELIGIOUS;ACADEMIC;CULTURAL,Jogye monk; Bunhwangsa India abbot; BGICBS chancellor; Delhi University MOU 2026
PEOPLE,P-0063,Hyoseok (Ven.),PRIMARY,KEEP,B6 1990-2026,PHYSICAL_MOVEMENT; INSTITUTIONAL,studied,ACADEMIC;RELIGIOUS;CULTURAL,Jogye bhikkhuni; Pune MA + Delhi PhD
PEOPLE,P-0064,Wookwan (Ven.),PRIMARY,KEEP,B6 1990-2026,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,studied,ACADEMIC;RELIGIOUS;CULTURAL;LINGUISTIC,Jogye bhikkhuni; Delhi University Buddhist studies (5+ years); temple-food master
PEOPLE,P-0065,Gakseong (Ven.),PRIMARY,KEEP,B6 1990-2026,PHYSICAL_MOVEMENT; INSTITUTIONAL,studied,ACADEMIC;RELIGIOUS,"Jogye monk; Delhi University 1992-98; 4,500 km solo pilgrimage of Indian Buddhist sites"
PEOPLE,P-0066,Divik Ramesh,NONE,EXCLUDE,B6 1990-2026,TEXTUAL_TRANSMISSION,-,LITERARY;LINGUISTIC,Korean-poetry translator into Hindi; literary
PEOPLE,P-0067,Dileep Jhaveri,NONE,EXCLUDE,B5 1945-1990,PHYSICAL_MOVEMENT,visited,LITERARY;CULTURAL,Poet; 1986 Korea gathering; literary
PEOPLE,P-0068,Sŏ Chŏng-ju,SECONDARY,ADAPT,B5 1945-1990,PERSON_ENCOUNTER,-,INTELLECTUAL,Documented meeting with Indian poet Sitanshu Yashaschandra at Dongguk University (literary exchange; compassion theme)
PEOPLE,P-0069,Hwang Tong-gyu,NONE,EXCLUDE,B6 1990-2026,INDIRECT_INFLUENCE,-,NULL,No India link found; non-Buddhist
PEOPLE,P-0070,Kim Chi-ha,NONE,EXCLUDE,B5 1945-1990,INDIRECT_INFLUENCE,-,NULL,No verifiable Gandhi/India influence; thought rooted in Donghak/Buddhism/Christianity (Hani 2026-07-03); popular Gandhi association unverified
PEOPLE,P-0071,Vinoba Bhave,MEDIATOR,ADAPT,B5 1945-1990,PERSON_ENCOUNTER,-,RELIGIOUS;INTELLECTUAL,Gandhian leader; documented Indian counterpart in Popchong's 1971 encounter
PEOPLE,P-0072,Yi Yŏng-jae,PRIMARY,KEEP,B4 Modern/colonial (1900-1945),PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,planned,RELIGIOUS;INTELLECTUAL,First modern-era Korean Buddhist pilgrimage attempt (1925-27); died in Ceylon en route; travelogues 도석기/남국기/석란의 불교
PEOPLE,P-0073,Hwang Su-yŏng,PRIMARY,KEEP,B5 1945-1990,PHYSICAL_MOVEMENT,visited,INTELLECTUAL,Hwang Su-yŏng: Dongguk professor; 1962-63 field survey of Indian Buddhist sites following Hyecho's route; visited Nalanda
PEOPLE,P-0074,Muhak Chach'o,MEDIATOR,ADAPT,B2 Silla/Goryeo (900-1392),INDIRECT_INFLUENCE,-,RELIGIOUS,Muhak Chach'o: Jikong's disciple per tradition; T'aejo's royal preceptor; co-led the Nalanda-modeled Hoeamsa; no India travel
PEOPLE,P-0075,Baegun Gyeonghan,SECONDARY,ADAPT,B2 Silla/Goryeo (900-1392),INDIRECT_INFLUENCE,-,RELIGIOUS;INTELLECTUAL,Baegun Gyeonghan: Jikji author; received Jikong's inka per tradition; no India travel
PEOPLE,P-0076,Sitanshu Yashaschandra,SECONDARY,ADAPT,B5 1945-1990,PERSON_ENCOUNTER,-,INTELLECTUAL,Sitanshu Yashaschandra: Indian poet; documented counterpart in Sŏ Chŏng-ju's Dongguk encounter
PEOPLE,P-0077,Ch'ukwŏn Chijŏn,SECONDARY,ADAPT,B2 Silla/Goryeo (900-1392),INDIRECT_INFLUENCE,-,RELIGIOUS,Ch'ukwŏn Chijŏn: Jikong's disciple per tradition; National Preceptor Chŏngji (정지국사); no India travel
PLACES,PL-0001,Korea (Silla),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Silla: home kingdom of the core ancient monks
PLACES,PL-0002,Korea (Baekje),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,"Baekje: Marananta, Gyeomik, Baedalta"
PLACES,PL-0003,Korea (Gaya/Gimhae),CONTEXTUAL,CONTEXT,B1 Ancient/early-medieval (<900),-,-,-,Recorded relevance is the Heo Hwang-ok legend (non-Buddhist; context row)
PLACES,PL-0004,Korea (Goguryeo),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Goguryeo: Hyonyu
PLACES,PL-0005,Korea (Goryeo),PRIMARY,KEEP,B2 Silla/Goryeo (900-1392),-,-,-,"Goryeo: Iryon, Dhyanabhadra, Naong, Hoeamsa"
PLACES,PL-0006,Korea (Joseon),NONE,EXCLUDE,B3 Joseon (1392-1900),-,-,-,"Recorded relevance is non-Buddhist (Yi Su-gwang, Ch'oe Han-gi, Yi Kyu-gyong)"
PLACES,PL-0007,India (Ayodhya),CONTEXTUAL,CONTEXT,B1 Ancient/early-medieval (<900),LEGENDARY,-,-,Legendary origin site of Heo Hwang-ok (debated; context row)
PLACES,PL-0008,India (Gandhara),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Hyecho itinerary; Buddhist heartland (Gandhara)
PLACES,PL-0009,India (Nalanda),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Nalanda: Silla monks' destination; Dhyanabhadra ordination
PLACES,PL-0010,India (Bodh Gaya),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,"Bodh Gaya: enlightenment site; Hyeeop, Hyongak; Bunhwangsa India"
PLACES,PL-0011,India (Kashmir),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Hyecho itinerary (Kashmir)
PLACES,PL-0012,India (Central India / Sangana),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Sangana Great Vinaya Monastery: Gyeomik's 5-year study site
PLACES,PL-0013,India (Delhi),PRIMARY,KEEP,B6 1990-2026,-,-,-,"Delhi: Delhi University Buddhist-studies hub (Wookwan, Gakseong, Hyoseok, U Myeong-ju)"
PLACES,PL-0014,India (Pune),SECONDARY,ADAPT,B6 1990-2026,-,-,-,Pune: Pune University (Hyoseok MA); study venue on a monk's route
PLACES,PL-0015,"China (Tang, Chang'an)",MEDIATOR,ADAPT,B1 Ancient/early-medieval (<900),-,-,-,Chang'an: Woncheuk's Ximing Monastery; transit hub of Buddhist transmission
PLACES,PL-0016,China (Guangzhou),MEDIATOR,ADAPT,B1 Ancient/early-medieval (<900),-,-,-,Guangzhou: Hyecho's departure port
PLACES,PL-0017,China (Yuan),MEDIATOR,ADAPT,B2 Silla/Goryeo (900-1392),-,-,-,Yuan Dadu: Dhyanabhadra's base; Naong meeting
PLACES,PL-0018,Central Asia (Kucha),MEDIATOR,ADAPT,B1 Ancient/early-medieval (<900),-,-,-,Kucha: Hyecho itinerary node
PLACES,PL-0019,Central Asia (Serindia/Western Regions),MEDIATOR,ADAPT,B1 Ancient/early-medieval (<900),-,-,-,Serindia/Western Regions: Marananta's probable origin; Hyecho route
PLACES,PL-0020,Persia (Nishapur),MEDIATOR,ADAPT,B1 Ancient/early-medieval (<900),-,-,-,Nishapur: Hyecho route node (westernmost point)
PLACES,PL-0021,Tibet,MEDIATOR,ADAPT,B1 Ancient/early-medieval (<900),-,-,-,Tibet: Ojin's death site; Dhyanabhadra transit
PLACES,PL-0022,Sri Lanka,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Sri Lanka: Hyonyu ordination; Theravada South Asia
PLACES,PL-0023,Japan (Tokyo/Yokohama),CONTEXTUAL,CONTEXT,B4 Modern/colonial (1900-1945),-,-,-,Tokyo/Yokohama: Tagore literary meetings (context row)
PLACES,PL-0024,Korea (Seoul),PRIMARY,KEEP,B6 1990-2026,-,-,-,"Seoul: modern Buddhist hub (Jogye HQ, Dongguk, Bongwonsa)"
PLACES,PL-0025,Korea (Busan),NONE,EXCLUDE,B5 1945-1990,-,-,-,Busan: 60 PFA arrival (military)
PLACES,PL-0026,Korea (Panmunjom/Imjingak),NONE,EXCLUDE,B5 1945-1990,-,-,-,Panmunjom/Imjingak: armistice site; military memorials
PLACES,PL-0027,India (New Delhi),PRIMARY,KEEP,B6 1990-2026,-,-,-,New Delhi: Buddhist studies + IBC + GBS 2026 hub
PLACES,PL-0028,India (Meerut),NONE,EXCLUDE,B6 1990-2026,-,-,-,Meerut: Lee Jeong-ho PhD (Hindi literature)
PLACES,PL-0029,Korea (Gyeongju),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Gyeongju: Silla Buddhist capital; Yongjangsa (T'aehyon)
PLACES,PL-0030,China (Hangzhou/Jin),MEDIATOR,ADAPT,B1 Ancient/early-medieval (<900),-,-,-,Eastern Jin territory: Marananta's departure point
PLACES,PL-0031,India (unspecified),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),-,-,-,Generic India: destinations of Yijing-recorded monks
PLACES,PL-0032,India (Sarnath),PRIMARY,KEEP,B6 1990-2026,-,-,-,Sarnath: 2023 Sangwol pilgrimage endpoint; 2022 Jogye delegation; first sermon site
PLACES,PL-0033,India (Kushinagar),PRIMARY,KEEP,B6 1990-2026,-,-,-,Kushinagar: parinirvana site; 2023 Sangwol route; 2014 Jogye itinerary
PLACES,PL-0034,Nepal (Lumbini),PRIMARY,KEEP,B6 1990-2026,-,-,-,Lumbini: Buddha's birthplace; 2023 Sangwol route via Nepal; 2014 Jogye itinerary
PLACES,PL-0035,India (Vaishali),PRIMARY,KEEP,B6 1990-2026,-,-,-,Vaishali: 2023 Sangwol route
PLACES,PL-0036,India (Shravasti),PRIMARY,KEEP,B6 1990-2026,-,-,-,Shravasti: 2023 Sangwol pilgrimage endpoint
PLACES,PL-0037,India (Rajgir / Vulture Peak),PRIMARY,KEEP,B6 1990-2026,-,-,-,Rajgir/Vulture Peak: 2023 Sangwol route; near Nalanda
PLACES,PL-0038,Nepal (Kapilavastu),PRIMARY,KEEP,B6 1990-2026,-,-,-,Kapilavastu: Buddha's childhood home; 2023 Sangwol route
PLACES,PL-0039,India (Dharamsala),PRIMARY,KEEP,B6 1990-2026,-,-,-,Dharamsala: 2026 KBPF pilgrimage destination (Tibetan Buddhist center)
TRAVELS,T-0001,Hyecho (727),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS;LITERARY;INTELLECTUAL,Hyecho's Five Indias pilgrimage (c. 719/723-727)
TRAVELS,T-0002,Marananta (384),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,worked,RELIGIOUS,Marananta's 384 arrival in Baekje; founded Baekje Buddhism
TRAVELS,T-0003,Gyeomik (531),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,studied,RELIGIOUS;LINGUISTIC;INTELLECTUAL,"Gyeomik's sea pilgrimage 526-531 (Sangana, 5 yrs Sanskrit)"
TRAVELS,T-0004,Baedalta (531),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,worked,RELIGIOUS,"Baedalta India -> Baekje by sea, 531"
TRAVELS,T-0005,Ariyabalma (dates unknown),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,studied,RELIGIOUS;INTELLECTUAL,Ariyabalma Silla -> Nalanda; died there
TRAVELS,T-0006,Hyeeop (dates unknown),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS;INTELLECTUAL,Hyeeop Silla -> Bodh Gaya/Nalanda; died in India
TRAVELS,T-0007,Hyŏnt'ae (dates unknown),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Hyont'ae Silla -> India -> Tang
TRAVELS,T-0008,Hyŏngak (dates unknown),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Hyongak Silla -> Bodh Gaya with Xuanzhao; died there
TRAVELS,T-0009,Gubon (dates unknown),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Gubon Silla -> India
TRAVELS,T-0010,Ojin (789),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Ojin Silla -> Tang -> Central India -> Tibet
TRAVELS,T-0011,Wonpyo (765),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Wonpyo Silla -> Tang -> India -> Tang
TRAVELS,T-0012,Hyŏnyu (dates unknown),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,studied,RELIGIOUS,Hyonyu Goguryeo -> Sri Lanka; ordained there
TRAVELS,T-0013,Dhyānabhadra (1363),PRIMARY,KEEP,B2 Silla/Goryeo (900-1392),PHYSICAL_MOVEMENT,worked,RELIGIOUS;INTELLECTUAL;CULTURAL,Dhyanabhadra Magadha -> Goryeo (1326); Hoeamsa founded 1328
TRAVELS,T-0014,Rabindranath Tagore (1929),MEDIATOR,ADAPT,B4 Modern/colonial (1900-1945),PHYSICAL_MOVEMENT,visited,LITERARY;CULTURAL;POLITICAL,Tagore's Japan visits 1916-1929; mediator channel (Lamp of the East influence on Korean Buddhism)
TRAVELS,T-0015,Chin Hak-mun (1916),CONTEXTUAL,CONTEXT,B4 Modern/colonial (1900-1945),PHYSICAL_MOVEMENT,visited,LITERARY;POLITICAL,Chin Hak-mun Korea -> Japan; literary meeting with Tagore (context row)
