place_id,place_name,name_variants,modern_country,historical_region,lat,lon,place_type,notes
PL-0021,Tibet,Tibet; 吐蕃,China (Tibet),Tibetan Empire,29.65,91.1,REGION,Ojin died there
PL-0022,Sri Lanka,Ceylon; 錫蘭山,Sri Lanka,,7.873,80.771,COUNTRY,Hyŏnyu ordained there; mentioned in Jibong yuseol
PL-0023,Japan (Tokyo/Yokohama),Tokyo; 東京,Japan,,35.676,139.65,CITY,"Tagore-Korean encounters 1916, 1929"
PL-0024,Korea (Seoul),Seoul; 서울; 漢城,Korea,South Korea,37.566,126.978,CITY,UNTCOK 1948; Lokesh Chandra 2016; embassy seat
PL-0025,Korea (Busan),Busan; 부산,Korea,South Korea,35.18,129.075,PORT,A.G. Rangaraj / 60th PFA arrival 20 Nov 1950
PL-0026,Korea (Panmunjom/Imjingak),Panmunjom; 판문점,Korea,DMZ,37.956,126.677,CITY,Korean War armistice site; Thimayya memorial bust
PL-0027,India (New Delhi),New Delhi; 뉴델리; नई दिल्ली,India,Delhi,28.614,77.209,CITY,Kim Woo-choong 1994; ROK embassy; JNU
PL-0028,India (Meerut),Meerut; मेरठ,India,Uttar Pradesh,28.984,77.706,CITY,Lee Jeong-ho PhD university
PL-0029,Korea (Gyeongju),Gyeongju; 경주; 慶州,Korea,Silla capital (modern Gyeongsangbuk-do),35.856,129.225,CITY,Silla Buddhist culture; Yongjangsa (T'aehyŏn)
PL-0030,China (Hangzhou/Jin),Eastern Jin territory,China,Eastern Jin dynasty (317-420),30.274,120.155,REGION,Marananta's departure point (via Jin China)
PL-0031,India (unspecified),India; 인도,India,,,,REGION,Generic destination for Yijing-recorded monks whose exact site is unknown
PL-0032,India (Sarnath),Sarnath; 사르나트; सारनाथ,India,Uttar Pradesh (Varanasi),25.381,83.021,SITE,2023 Sangwol pilgrimage endpoint; 2022 Jogye delegation; first sermon site
PL-0033,India (Kushinagar),Kushinagar; 쿠시나가르,India,Uttar Pradesh,26.741,83.889,SITE,Buddha's parinirvana site; 2023 Sangwol route; 2014 Jogye itinerary
PL-0034,Nepal (Lumbini),Lumbini; 룸비니,Nepal,Lumbini Province,27.469,83.276,SITE,Buddha's birthplace; 2023 Sangwol route via Nepal; 2014 Jogye itinerary
PL-0035,India (Vaishali),Vaishali; 바이샬리,India,Bihar,25.989,85.126,SITE,2023 Sangwol route
PL-0036,India (Shravasti),Shravasti; 슈라바스티,India,Uttar Pradesh,27.516,82.052,SITE,2023 Sangwol pilgrimage endpoint (Sarnath->Shravasti)
PL-0037,India (Rajgir / Vulture Peak),Rajgir; 라지기르; Griddhakuta,India,Bihar,25.03,85.418,SITE,2023 Sangwol route; near Nalanda
PL-0038,Nepal (Kapilavastu),Kapilavastu; 카필라바스투,Nepal,Lumbini Province,27.508,82.996,REGION,Buddha's childhood home; 2023 Sangwol route
PL-0039,India (Dharamsala),Dharamsala; 다람살라; McLeod Ganj,India,Himachal Pradesh,32.219,76.324,CITY,2026 KBPF pilgrimage destination (Tibetan Buddhist center)
