person_id,full_name,cluster,basis,provenance,notes
P-0015,Hyŏnt'ae,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0016,Hyŏngak,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0017,Gubon,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0018,Hyeryun,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0020,Ojin,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0021,Wonpyo,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0022,Hyŏnyu,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0023,Dhyānabhadra,B2 JIKONG CIRCLE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0024,Naong Hyegeun,B2 JIKONG CIRCLE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0028,Yi Nŭng-hwa,B4 COLONIAL INTELLECTUAL,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0029,Ch'oe Nam-sŏn,B4 COLONIAL INTELLECTUAL,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0030,Rabindranath Tagore,B4 COLONIAL INTELLECTUAL,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0034,Han Yong-un,B4 COLONIAL INTELLECTUAL,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0038,Mohandas Karamchand Gandhi,B4 COLONIAL FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0051,Ko Un,B6 CONTEMPORARY FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0052,Pŏpchŏng,B5 POSTWAR FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0053,Lokesh Chandra,B6 ACADEMIC,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0054,Jung Seung-suk,B6 ACADEMIC,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0055,U Myeong-ju,B6 ACADEMIC,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0062,Buddhavara (Ven.),B6 INSTITUTIONAL MONASTIC,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0063,Hyoseok (Ven.),B6 INSTITUTIONAL MONASTIC,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0064,Wookwan (Ven.),B6 INSTITUTIONAL MONASTIC,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0065,Gakseong (Ven.),B6 CONTEMPORARY FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0068,Sŏ Chŏng-ju,B5 POSTWAR FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0071,Vinoba Bhave,B5 POSTWAR FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0072,Yi Yŏng-jae,B4 COLONIAL FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0073,Hwang Su-yŏng,B5 POSTWAR FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0074,Muhak Chach'o,B2 JIKONG CIRCLE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0075,Baegun Gyeonghan,B2 JIKONG CIRCLE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0076,Sitanshu Yashaschandra,B5 POSTWAR FIGURE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0077,Ch'ukwŏn Chijŏn,B2 JIKONG CIRCLE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
