person_id,full_name,period,band,nationality_region,profession_role,role_1,role_2,role_3,religious_affiliation,tradition_1,tradition_2,tradition_3,movement_status,buddhist_relevance,scope,direction_of_influence,exchange_types,connection_types,institution_status,mapped_institution_ids,birth_year,death_year,floruit_start,floruit_end,confidence,status,source_count,single_source,n_rels,rel_kinds,n_ptx,ptx_roles,n_events,event_roles,notes
P-0013,Ariyabalma,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Pilgrim monk,PILGRIM_MONK,,,Buddhism,GENERAL_BUDDHISM,,,studied,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS;INTELLECTUAL,PHYSICAL_MOVEMENT,MAPPED,I-0002,,,671,695,MEDIUM,VERIFIED,2,NO,0,,0,,0,,"Recorded by Yijing (義淨), who visited India 671-695."
P-0014,Hyeeop,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Pilgrim monk,PILGRIM_MONK,,,Buddhism,GENERAL_BUDDHISM,,,visited,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS;INTELLECTUAL,PHYSICAL_MOVEMENT,PARTIAL,I-0002,,,671,695,MEDIUM,VERIFIED,2,NO,0,,0,,0,,NULL
P-0015,Hyŏnt'ae,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Pilgrim monk,PILGRIM_MONK,,,Buddhism,GENERAL_BUDDHISM,,,visited,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS,PHYSICAL_MOVEMENT,NO_INSTITUTION,,,,671,695,MEDIUM,VERIFIED,2,NO,0,,0,,0,,NULL
P-0016,Hyŏngak,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Pilgrim monk,PILGRIM_MONK,,,Buddhism,GENERAL_BUDDHISM,,,visited,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS,PHYSICAL_MOVEMENT,NO_INSTITUTION,,,,627,649,MEDIUM,VERIFIED,2,NO,0,,0,,0,,NULL
P-0017,Gubon,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Pilgrim monk,PILGRIM_MONK,,,Buddhism,GENERAL_BUDDHISM,,,visited,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS,PHYSICAL_MOVEMENT,NO_INSTITUTION,,,,671,695,MEDIUM,VERIFIED,2,NO,0,,0,,0,,NULL
P-0018,Hyeryun,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla; reading per Kim Bok-soon; Yijing wrote 高麗),Pilgrim monk,PILGRIM_MONK,,,Buddhism,GENERAL_BUDDHISM,,,visited,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS,PHYSICAL_MOVEMENT,NO_INSTITUTION,,,,671,695,MEDIUM,PARTIAL,3,NO,0,,0,,0,,"Identification as Silla vs Koguryo/Goryeo debated (Yijing wrote '高麗'). Note: Yijing's 雞貴 gloss ('矩矩吒是雞，醫說羅是貴，即高麗國也') is an ethnonym for the Korean people, not a monk - the former P-0019 record was removed on that basis."
P-0020,Ojin,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Esoteric Buddhist monk,PILGRIM_MONK,,,Buddhism (Esoteric),ESOTERIC,,,visited,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS,PHYSICAL_MOVEMENT,UNMAPPED,,,,785,798,MEDIUM,VERIFIED,2,NO,0,,0,,0,,NULL
P-0021,Wonpyo,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Unified Silla),Monk,PILGRIM_MONK,,,Buddhism,GENERAL_BUDDHISM,,,visited,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS,PHYSICAL_MOVEMENT,NO_INSTITUTION,,,,742,765,MEDIUM,VERIFIED,1,YES,0,,0,,0,,Transcription varies (원표/元表).
P-0022,Hyŏnyu,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Goguryeo),Monk,PILGRIM_MONK,,,Buddhism,GENERAL_BUDDHISM,,,studied,PRIMARY,KEEP,UNCERTAIN,RELIGIOUS,PHYSICAL_MOVEMENT,NO_INSTITUTION,,,,671,695,MEDIUM,PARTIAL,1,YES,0,,0,,0,,Connection is to Sri Lanka rather than mainland India; direction of influence for India-Korea exchange uncertain.
P-0023,Dhyānabhadra,MEDIEVAL,B2 Silla/Goryeo (900-1392),INDIAN (Magadha),Indian Buddhist master; Seon/Chan patriarch,MASTER_PATRIARCH,INSTITUTIONAL_LEADER,,Buddhism (Chan/Seon transmission),SEON_CHAN,,,worked,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL;CULTURAL,PHYSICAL_MOVEMENT; INSTITUTIONAL; PERSON_ENCOUNTER,MAPPED,I-0002;I-0003,1289,1363,,,HIGH,VERIFIED,5,NO,4,TEACHER_STUDENT,0,,0,,"Biography contains hagiographical elements (Indian royal family per tradition; ordained at Nalanda at age 8, completed training at 19 - per Yangju Hoeamsa museum and stele tradition). Core facts standard across sources: Magadha -> Yuan Dadu -> Goryeo 1326 (Ch'ungsuk era) -> Dadu Beopwonsa; died 1363; Hoeamsa stupa erected 1372 (壬子; stele text by Yi Saek)."
P-0024,Naong Hyegeun,MEDIEVAL,B2 Silla/Goryeo (900-1392),KOREAN (Goryeo),Seon monk,MASTER_PATRIARCH,INSTITUTIONAL_LEADER,,Buddhism (Seon),SEON_CHAN,,,-,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS,PERSON_ENCOUNTER,UNMAPPED,,1320,1376,,,MEDIUM,VERIFIED,1,YES,1,TEACHER_STUDENT,0,,1,ORGANIZER,No personal travel to India; relationship mediated via the Indian master Jikong.
P-0028,Yi Nŭng-hwa,MODERN,B4 Modern/colonial (1900-1945),KOREAN (Joseon -> colonial Korea),Historian; religious scholar; folklorist ('father of Korean religious studies'); school principal,MODERN_INTELLECTUAL,ACADEMIC,,None (studied all religions comparatively),NON_BUDDHIST,,,-,SECONDARY,ADAPT,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL;ACADEMIC,TEXTUAL_TRANSMISSION,UNMAPPED,,1869,1943,,,HIGH,VERIFIED,3,NO,0,,1,AUTHOR,0,,Date discrepancy resolved: 1869-1943 per EncyKorea/AKS (Internet Archive's '1865-1945' is an error). Colonial-era record includes pro-Japanese designations.
P-0029,Ch'oe Nam-sŏn,MODERN,B4 Modern/colonial (1900-1945),KOREAN (Korean Empire -> colonial Korea),Enlightenment thinker; historian; publisher; magazine editor,MODERN_INTELLECTUAL,,,None (wrote on Buddhism as national culture),NON_BUDDHIST,,,-,SECONDARY,ADAPT,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL;CULTURAL,TEXTUAL_TRANSMISSION; PERSON_ENCOUNTER,UNMAPPED,,1890,1957,,,HIGH,VERIFIED,3,NO,1,MET_IN_PERSON,1,AUTHOR,0,,Beware the widespread 'Yuktang requested Song of the Defeated' myth - corrected by Hong Eun-taek (the request was made by Chin Hak-mun).
P-0030,Rabindranath Tagore,MODERN,B4 Modern/colonial (1900-1945),INDIAN (Bengal),Poet; novelist; playwright; essayist; educator; first Asian Nobel laureate in Literature (1913),LITERARY_FIGURE,NON_BUDDHIST_FIGURE,,Brahmoism-influenced Hindu humanist universalism,NON_BUDDHIST,,,planned,MEDIATOR,ADAPT,INDIA_TO_KOREA,LITERARY;CULTURAL;POLITICAL,INDIRECT_INFLUENCE; PERSON_ENCOUNTER,MAPPED,I-0004,1861,1941,,,HIGH,VERIFIED,5,NO,2,INFLUENCED;MET_IN_PERSON,5,AUTHOR;SUBJECT,0,,"The famous 15-line 'poem' is a patchwork: Tagore's actual message was a 6-line English note (an apology for declining the lecture request), translated into 4 Korean lines by Chu Yo-han (Apr 1929); Gitanjali #35 was appended and 'Korea' inserted in a closing line Tagore never wrote (likely from 세계명시선 1977); circulated in 2002/2003 textbooks and inscribed under the 2011 bust. First poem actually sent to Koreans: 'The Song of the Defeated' (Fruit-Gathering no. 85, Jan 1916)."
P-0034,Han Yong-un,MODERN,B4 Modern/colonial (1900-1945),KOREAN,Buddhist monk-poet; independence activist,LITERARY_FIGURE,ACTIVIST,MONK_GENERAL,Buddhism (Seon; colonial-era reform),SEON_CHAN,,,-,PRIMARY,KEEP,INDIA_TO_KOREA,LITERARY;RELIGIOUS;POLITICAL,INDIRECT_INFLUENCE; TEXTUAL_TRANSMISSION,UNMAPPED,,1879,1944,,,HIGH,VERIFIED,2,NO,1,INFLUENCED,1,AUTHOR,0,,Dates widely documented; not re-pulled in pilot.
P-0038,Mohandas Karamchand Gandhi,MODERN,B4 Modern/colonial (1900-1945),INDIAN,Lawyer; political and spiritual leader of the Indian independence movement,ACTIVIST,NON_BUDDHIST_FIGURE,,Hindu (Vaishnava with Jain influences); secularist in politics,NON_BUDDHIST,,,-,MEDIATOR,ADAPT,INDIA_TO_KOREA,POLITICAL;INTELLECTUAL,INDIRECT_INFLUENCE,UNMAPPED,,1869,1948,,,MEDIUM,VERIFIED,2,NO,1,INFLUENCED,0,,0,,"Include only as an influence figure - no documented direct Gandhi-Korea writing, visit, or contact found."
P-0051,Ko Un,CONTEMPORARY,B6 1990-2026,KOREAN (South Korea),Poet,LITERARY_FIGURE,MONK_GENERAL,,Buddhism (ordained monk 1952-1962),SEON_CHAN,,,visited,SECONDARY,ADAPT,BIDIRECTIONAL,LITERARY;ACADEMIC,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,NO_INSTITUTION,,1933,,,,HIGH,VERIFIED,5,NO,0,,0,,0,,"Born 1 Aug 1933, Gunsan (ko-wiki; naver blog); birth name 고은태 (高銀泰) - earlier 'Yi Seon-il' variant dropped as unsupported. No India-specific travelogue/collection title identified despite searching (unresolved gap, not a contradiction)."
P-0052,Pŏpchŏng,CONTEMPORARY,B5 1945-1990,KOREAN (South Korea),Buddhist monk; essayist (author of 무소유 / 'Nothing to Possess'),MONK_GENERAL,LITERARY_FIGURE,,Buddhism (Korean Seon; Songgwangsa lineage),SEON_CHAN,,,visited,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS;LITERARY;INTELLECTUAL,PHYSICAL_MOVEMENT; PERSON_ENCOUNTER,MAPPED,I-0020,1932,2010,,,HIGH,VERIFIED,2,NO,2,INFLUENCED;MET_IN_PERSON,1,AUTHOR,0,,Article also ties him to India's Buddhist sites (Sarnath/Bodh Gaya) pilgrimage culture.
P-0053,Lokesh Chandra,CONTEMPORARY,B6 1990-2026,INDIAN,Indologist; Sanskritist; Vedic/Buddhist studies scholar; former Member of Parliament (Rajya Sabha),ACADEMIC,INSTITUTIONAL_LEADER,,Buddhist-heritage scholarship (Buddhism specialist),LAY_BUDDHIST,,,visited,PRIMARY,KEEP,INDIA_TO_KOREA,ACADEMIC;CULTURAL;RELIGIOUS,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,UNMAPPED,,1927,,,,HIGH,VERIFIED,4,NO,0,,1,AUTHOR,0,,"Korea connection anchored on three independent sources (book, collected-works chapter, event report)."
P-0054,Jung Seung-suk,CONTEMPORARY,B6 1990-2026,KOREAN (South Korea),Scholar of Indian philosophy (academic; Buddhist/Indian philosophy writing),ACADEMIC,,,NULL,UNKNOWN,,,-,SECONDARY,ADAPT,INDIA_TO_KOREA,ACADEMIC;INTELLECTUAL,TEXTUAL_TRANSMISSION,MAPPED,I-0010,,,1980,1991,HIGH,VERIFIED,2,NO,0,,0,,0,,"His MA/PhD are from Dongguk, not Delhi University - an India-trained status could NOT be documented; do not claim otherwise."
P-0055,U Myeong-ju,CONTEMPORARY,B6 1990-2026,KOREAN (South Korea),Buddhist-studies researcher; former journalist (한겨레21 India correspondent); former Korean lecturer at University of Delhi,ACADEMIC,,,Buddhism (lay scholar),LAY_BUDDHIST,,,studied,PRIMARY,KEEP,BIDIRECTIONAL,ACADEMIC;LINGUISTIC;JOURNALISM,PHYSICAL_MOVEMENT; INSTITUTIONAL,MAPPED,I-0010,,,2001,2019,HIGH,VERIFIED,1,YES,0,,0,,0,,"Lay scholar - placed in scholars category, NOT monastic."
P-0062,Buddhavara (Ven.),CONTEMPORARY,B6 1990-2026,KOREAN (South Korea; resident in India),"Buddhist monk; abbot of Bunhwangsa Temple India (분황사, Bodh Gaya); Chancellor of Bodh Gaya International College of Buddhist Studies; principal of Bodh Gaya International Meditation School; abbot at Sati Aramma (Kimhae)",INSTITUTIONAL_LEADER,MONK_GENERAL,,Buddhism (Korean Jogye Order; Theravada-oriented early-Buddhist meditation),SEON_CHAN,THERAVADA_ORIENTED,,worked,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS;ACADEMIC;CULTURAL,PHYSICAL_MOVEMENT; INSTITUTIONAL,MAPPED,I-0015;I-0014,,,2026,2026,MEDIUM,VERIFIED,1,YES,0,,0,,1,REPRESENTATIVE,His own personal university study in India is NOT documented in cited sources; category is satisfied via long-term Indian residence and institutional leadership.
P-0063,Hyoseok (Ven.),CONTEMPORARY,B6 1990-2026,KOREAN (South Korea),Bhikkhuni (nun); professor at Bongnyeongsa monastic college; attendant to preceptor Ven. Bongak,BHIKKHUNI,ACADEMIC,,Buddhism (Jogye Order bhikkhuni),SEON_CHAN,,,studied,PRIMARY,KEEP,INDIA_TO_KOREA,ACADEMIC;RELIGIOUS;CULTURAL,PHYSICAL_MOVEMENT; INSTITUTIONAL,PARTIAL,I-0021,1970,,,,HIGH,VERIFIED,1,YES,0,,0,,0,,Article is a profile essay (Hyunbul News '모정불심' series) - single-source but detailed and first-person.
P-0064,Wookwan (Ven.),CONTEMPORARY,B6 1990-2026,KOREAN (South Korea),Bhikkhuni; founder/director of Mahayeon Temple Food Culture Center (Icheon); 2022 Jogye Order Temple-Food Master; inaugural director of Bongwonsa Temple-Food Culture Research Institute,BHIKKHUNI,INSTITUTIONAL_LEADER,,Buddhism (Jogye Order bhikkhuni; trained at Bongnyeongsa),SEON_CHAN,,,studied,PRIMARY,KEEP,BIDIRECTIONAL,ACADEMIC;RELIGIOUS;CULTURAL;LINGUISTIC,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,PARTIAL,I-0016,,,2005,2015,HIGH,VERIFIED,2,NO,0,,1,AUTHOR,0,,Two sources diverge slightly on PhD completion (2010: '석·박사 모두 마침' vs 2022: '박사 수료') - newer source used as primary; discrepancy noted.
P-0065,Gakseong (Ven.),CONTEMPORARY,B6 1990-2026,KOREAN (South Korea),"Buddhist monk; abbot of Guryongsa (Seoul, 2010-2020); 17th Jogye Central Assembly member (2018-2020)",MONK_GENERAL,INSTITUTIONAL_LEADER,,Buddhism (Jogye Order),SEON_CHAN,,,studied,PRIMARY,KEEP,INDIA_TO_KOREA,ACADEMIC;RELIGIOUS,PHYSICAL_MOVEMENT; INSTITUTIONAL,UNMAPPED,,1971,2020,,,HIGH,VERIFIED,2,NO,0,,0,,0,,Deceased 28 Sep 2020; two independent Buddhist-press obituaries corroborate.
P-0068,Sŏ Chŏng-ju,CONTEMPORARY,B5 1945-1990,KOREAN (colonial Korea -> South Korea),Poet; educator (Dongguk/Kyonggi university professor),LITERARY_FIGURE,ACADEMIC,,Buddhism (studied at Gaewunsa; Dongguk Buddhist college),LAY_BUDDHIST,,,-,SECONDARY,ADAPT,INDIA_TO_KOREA,INTELLECTUAL,PERSON_ENCOUNTER,MAPPED,I-0010,1915,2000,,,MEDIUM,VERIFIED,2,NO,1,MET_IN_PERSON,0,,0,,"REVIEW closed 2026-08-17: India link now documented (Dongguk newspaper interview with Sitanshu Yashaschandra). Original article date not stated - Sŏ served as 문리대학장 in the 1970s, so the visit is placed in B5 with year unknown; literary exchange (not Buddhist-institutional); classified SECONDARY/ADAPT."
P-0071,Vinoba Bhave,CONTEMPORARY,B5 1945-1990,INDIAN,Gandhian philosopher; leader of the Bhoodan (land-gift) movement; spiritual successor of Gandhi,ACTIVIST,NON_BUDDHIST_FIGURE,,Hindu (Gandhian),NON_BUDDHIST,,,-,MEDIATOR,ADAPT,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,PERSON_ENCOUNTER,UNMAPPED,,1895,1982,,,MEDIUM,VERIFIED,1,YES,1,MET_IN_PERSON,0,,0,,Included because he is the documented Indian counterpart in Pŏpchŏng's 1971 India encounter.
P-0072,Yi Yŏng-jae,MODERN,B4 Modern/colonial (1900-1945),KOREAN (colonial Korea),Monk (유학승); Buddhist reformer; first modern-era Korean monk to attempt an India pilgrimage,PILGRIM_MONK,,,Buddhism (ordained 1918 at Beopjusa; studied under Nampa and Paek Ch'owŏl sunims),SEON_CHAN,,,planned,PRIMARY,KEEP,KOREA_TO_INDIA,RELIGIOUS;INTELLECTUAL,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,UNMAPPED,,1900,1927,,,HIGH,VERIFIED,5,NO,0,,0,,0,,Never reached India proper - died in Ceylon aged 28; Dong-A Ilbo (1927-10-27) called him the first Korean monk in several hundred years to go to India; drew taegeukgi/taegeuk lanterns for Mahabodhi Society Vesak in Kandy; re-examined by German scholar Zimmermann (2026); B4-band (1900-1945) record
P-0073,Hwang Su-yŏng,CONTEMPORARY,B5 1945-1990,KOREAN,Art historian; professor at Dongguk University; pioneer of modern Korean field surveys of Indian Buddhist heritage,ACADEMIC,MODERN_INTELLECTUAL,,Buddhist scholar (lay),LAY_BUDDHIST,,,visited,PRIMARY,KEEP,KOREA_TO_INDIA,INTELLECTUAL,PHYSICAL_MOVEMENT,MAPPED,I-0010,,,1962,1963,HIGH,VERIFIED,2,NO,0,,0,,0,,Lay scholar (not a monk); the 1962-63 journey predates ROK-India diplomatic relations (1973) and the documented Korean-student era in India; the institute near Nalanda where he noted absent Koreans is the precursor of Nav Nalanda Mahavihara; B5-band (post-war) record
P-0074,Muhak Chach'o,MEDIEVAL,B2 Silla/Goryeo (900-1392),KOREAN,Seon master; royal preceptor (왕사) of King T'aejo (Yi Sŏng-gye); abbot of Hoeamsa; third of the Jikong-Naong-Muhak line (삼대화상),MASTER_PATRIARCH,INSTITUTIONAL_LEADER,,Seon Buddhist monk,SEON_CHAN,,,-,MEDIATOR,ADAPT,INDIA_TO_KOREA,RELIGIOUS,INDIRECT_INFLUENCE,MAPPED,I-0003,1327,1405,,,MEDIUM,VERIFIED,3,NO,1,TEACHER_STUDENT,0,,0,,India link entirely via Jikong tradition (Jahyeon 2017 monograph); no primary evidence of Muhak himself traveling to India; B2-band record; classified MEDIATOR/ADAPT
P-0075,Baegun Gyeonghan,MEDIEVAL,B2 Silla/Goryeo (900-1392),KOREAN,Seon master; author of Jikjisimcheyojeol (1377) - the world's oldest extant book printed with movable metal type,MASTER_PATRIARCH,,,Seon Buddhist monk,SEON_CHAN,,,-,SECONDARY,ADAPT,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,INDIRECT_INFLUENCE,UNMAPPED,,1298,1374,,,MEDIUM,VERIFIED,2,NO,1,TEACHER_STUDENT,0,,0,,India link entirely via Jikong tradition (Jahyeon 2017 monograph); Jikji fame is not itself India-connected; B2-band record; classified SECONDARY/ADAPT
P-0076,Sitanshu Yashaschandra,CONTEMPORARY,B5 1945-1990,INDIAN,Gujarati poet; scholar of Gujarati literature,LITERARY_FIGURE,ACADEMIC,NON_BUDDHIST_FIGURE,Hindu,NON_BUDDHIST,,,-,SECONDARY,ADAPT,INDIA_TO_KOREA,INTELLECTUAL,PERSON_ENCOUNTER,UNMAPPED,,1941,,,,MEDIUM,VERIFIED,1,YES,1,MET_IN_PERSON,0,,0,,"Visit year not stated in the article (Sŏ was 문리대학장, likely 1970s); literary exchange, not Buddhist-institutional; B5-band record; classified SECONDARY/ADAPT"
P-0077,Ch'ukwŏn Chijŏn,MEDIEVAL,B2 Silla/Goryeo (900-1392),KOREAN,Goryeo Seon monk; disciple of the Indian master Jikong (Dhyānabhadra); titled National Preceptor Chŏngji (정지국사),MASTER_PATRIARCH,,,Seon Buddhist monk,SEON_CHAN,,,-,SECONDARY,ADAPT,INDIA_TO_KOREA,RELIGIOUS,INDIRECT_INFLUENCE,NO_INSTITUTION,,1324,1395,,,MEDIUM,VERIFIED,2,NO,1,TEACHER_STUDENT,0,,0,,India link entirely via Jikong tradition (Jahyeon 2017 monograph); details of his career beyond the title 정지국사 not documented in the sources consulted; B2-band record; classified SECONDARY/ADAPT
