decade,entity_type,count,basis,provenance,notes
1900s,INSTITUTIONS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1900s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1910s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1910s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1910s,TRAVELS,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1920s,INSTITUTIONS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1920s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1920s,TEXTS,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1920s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1930s,PEOPLE,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1930s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1940s,INSTITUTIONS,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1940s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1960s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1970s,PEOPLE,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1970s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1970s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1980s,EVENTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1980s,INSTITUTIONS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1990s,INSTITUTIONS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1990s,TRAVELS,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
2000s,INSTITUTIONS,3,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
2000s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
2000s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
2010s,EVENTS,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
2010s,INSTITUTIONS,3,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
2010s,TEXTS,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
2010s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
2020s,EVENTS,15,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
