band,source_type,count,basis,provenance,notes
B4,WEBSITE,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B5,NEWS,6,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B5,PRIMARY,2,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B5,TERTIARY,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B5,WEBSITE,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B6,ARCHIVAL,2,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B6,DATABASE,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B6,NEWS,30,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B6,PRIMARY,5,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B6,SECONDARY,3,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B6,TERTIARY,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B6,WEBSITE,9,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
