role,band,count,basis,provenance,notes
MASTER_PATRIARCH,B6,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MONK_GENERAL,B1,2,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MONK_GENERAL,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MONK_GENERAL,B4,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MONK_GENERAL,B5,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MONK_GENERAL,B6,3,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
BHIKKHUNI,B1,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
BHIKKHUNI,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
BHIKKHUNI,B4,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
BHIKKHUNI,B5,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
BHIKKHUNI,B6,2,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
TRANSLATOR,B1,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
TRANSLATOR,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
TRANSLATOR,B4,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
TRANSLATOR,B5,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
TRANSLATOR,B6,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LITERARY_FIGURE,B1,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LITERARY_FIGURE,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LITERARY_FIGURE,B4,2,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LITERARY_FIGURE,B5,3,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LITERARY_FIGURE,B6,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACADEMIC,B1,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACADEMIC,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACADEMIC,B4,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACADEMIC,B5,3,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACADEMIC,B6,4,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACTIVIST,B1,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACTIVIST,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACTIVIST,B4,2,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACTIVIST,B5,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ACTIVIST,B6,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MODERN_INTELLECTUAL,B1,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MODERN_INTELLECTUAL,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MODERN_INTELLECTUAL,B4,2,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MODERN_INTELLECTUAL,B5,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MODERN_INTELLECTUAL,B6,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
INSTITUTIONAL_LEADER,B1,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
INSTITUTIONAL_LEADER,B2,3,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
INSTITUTIONAL_LEADER,B4,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
INSTITUTIONAL_LEADER,B5,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
INSTITUTIONAL_LEADER,B6,4,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST_FIGURE,B1,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST_FIGURE,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST_FIGURE,B4,2,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST_FIGURE,B5,2,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST_FIGURE,B6,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
