person_id,full_name,sequence,n_dated_events,basis,provenance,notes
P-0013,Ariyabalma,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0014,Hyeeop,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0015,Hyŏnt'ae,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0016,Hyŏngak,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0017,Gubon,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0018,Hyeryun,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0020,Ojin,TRAVEL 789,1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0021,Wonpyo,TRAVEL 742,1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0022,Hyŏnyu,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0023,Dhyānabhadra,BIRTH 1289 -> TRAVEL 1326 -> DEATH 1363,3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0024,Naong Hyegeun,BIRTH 1320 -> EVENT 1370 (ORGANIZER) -> DEATH 1376,3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0028,Yi Nŭng-hwa,BIRTH 1869 -> TEXT 1918 (AUTHOR) -> DEATH 1943,3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0029,Ch'oe Nam-sŏn,BIRTH 1890 -> TRAVEL 1916 -> TEXT 1930 (AUTHOR) -> DEATH 1957,4,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0030,Rabindranath Tagore,BIRTH 1861 -> TRAVEL 1916 -> TEXT 1910 (AUTHOR) -> TEXT 1913 (AUTHOR) -> TEXT 1916 (AUTHOR) -> TEXT 1916 (SUBJECT) -> TEXT 1929 (AUTHOR) -> DEATH 1941,8,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0034,Han Yong-un,BIRTH 1879 -> TEXT 1926 (AUTHOR) -> DEATH 1944,3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0038,Mohandas Karamchand Gandhi,BIRTH 1869 -> DEATH 1948,2,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0051,Ko Un,BIRTH 1933 -> TRAVEL 1990,2,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0052,Pŏpchŏng,BIRTH 1932 -> TRAVEL 1971 -> TEXT 1976 (AUTHOR) -> DEATH 2010,4,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0053,Lokesh Chandra,BIRTH 1927 -> TRAVEL 2016 -> TEXT 2019 (AUTHOR),3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0054,Jung Seung-suk,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0055,U Myeong-ju,TRAVEL 2001,1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0062,Buddhavara (Ven.),EVENT 2026 (REPRESENTATIVE),1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0063,Hyoseok (Ven.),BIRTH 1970,1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0064,Wookwan (Ven.),TEXT 2019 (AUTHOR),1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0065,Gakseong (Ven.),BIRTH 1971 -> TRAVEL 1992 -> DEATH 2020,3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0068,Sŏ Chŏng-ju,BIRTH 1915 -> DEATH 2000,2,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0071,Vinoba Bhave,BIRTH 1895 -> DEATH 1982,2,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0072,Yi Yŏng-jae,BIRTH 1900 -> TRAVEL 1925 -> DEATH 1927,3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0073,Hwang Su-yŏng,TRAVEL 1962,1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0074,Muhak Chach'o,BIRTH 1327 -> DEATH 1405,2,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0075,Baegun Gyeonghan,BIRTH 1298 -> DEATH 1374,2,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0076,Sitanshu Yashaschandra,BIRTH 1941,1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0077,Ch'ukwŏn Chijŏn,BIRTH 1324 -> DEATH 1395,2,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
