node_id,label,node_type,scope,historical_band,tradition,geography,confidence,relevance,direction,source_count,single_source,evidence_metadata,underlying_record_id
P-0010,Hyeil (Silla esoteric monk),PEOPLE,CARRIED,B1,ESOTERIC,KOREAN (Silla),MEDIUM,PRIMARY,INDIA_TO_KOREA,2,0,S-0098;S-0045,P-0010
P-0011,Gyeomik,PEOPLE,CARRIED,B1,VINAYA,KOREAN (Baekje),MEDIUM,PRIMARY,INDIA_TO_KOREA,2,0,S-0036;S-0171,P-0011
P-0012,Baedalta,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,INDIAN,MEDIUM,PRIMARY,INDIA_TO_KOREA,2,0,S-0036;S-0171,P-0012
P-0013,Ariyabalma,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,KOREAN (Silla),MEDIUM,PRIMARY,KOREA_TO_INDIA,2,0,S-0186;S-0061,P-0013
P-0014,Hyeeop,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,KOREAN (Silla),MEDIUM,PRIMARY,KOREA_TO_INDIA,2,0,S-0186;S-0061,P-0014
P-0015,Hyŏnt'ae,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,KOREAN (Silla),MEDIUM,PRIMARY,KOREA_TO_INDIA,2,0,S-0186;S-0061,P-0015
P-0016,Hyŏngak,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,KOREAN (Silla),MEDIUM,PRIMARY,KOREA_TO_INDIA,2,0,S-0186;S-0061,P-0016
P-0017,Gubon,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,KOREAN (Silla),MEDIUM,PRIMARY,KOREA_TO_INDIA,2,0,S-0186;S-0061,P-0017
P-0018,Hyeryun,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,KOREAN (Silla; reading per Kim Bok-soon; Yijing wrote 高麗),MEDIUM,PRIMARY,KOREA_TO_INDIA,3,0,S-0097;S-0061;S-0186,P-0018
P-0020,Ojin,PEOPLE,CARRIED,B1,ESOTERIC,KOREAN (Silla),MEDIUM,PRIMARY,KOREA_TO_INDIA,2,0,S-0100;S-0045,P-0020
P-0021,Wonpyo,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,KOREAN (Unified Silla),MEDIUM,PRIMARY,KOREA_TO_INDIA,1,1,S-0100,P-0021
P-0022,Hyŏnyu,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,KOREAN (Goguryeo),MEDIUM,PRIMARY,UNCERTAIN,1,1,S-0100,P-0022
P-0023,Dhyānabhadra,PEOPLE,CARRIED,B2,SEON_CHAN,INDIAN (Magadha),HIGH,PRIMARY,INDIA_TO_KOREA,5,0,S-0052;S-0164;S-0185;S-0041;S-0138,P-0023
P-0024,Naong Hyegeun,PEOPLE,CARRIED,B2,SEON_CHAN,KOREAN (Goryeo),MEDIUM,PRIMARY,INDIA_TO_KOREA,1,1,S-0100,P-0024
P-0028,Yi Nŭng-hwa,PEOPLE,CARRIED,B4,NON_BUDDHIST,KOREAN (Joseon -> colonial Korea),HIGH,SECONDARY,INDIA_TO_KOREA,3,0,S-0050;S-0003;S-0005,P-0028
P-0029,Ch'oe Nam-sŏn,PEOPLE,CARRIED,B4,NON_BUDDHIST,KOREAN (Korean Empire -> colonial Korea),HIGH,SECONDARY,INDIA_TO_KOREA,3,0,S-0023;S-0012;S-0047,P-0029
P-0030,Rabindranath Tagore,PEOPLE,CARRIED,B4,NON_BUDDHIST,INDIAN (Bengal),HIGH,MEDIATOR,INDIA_TO_KOREA,5,0,S-0120;S-0086;S-0116;S-0094;S-0092,P-0030
P-0034,Han Yong-un,PEOPLE,CARRIED,B4,SEON_CHAN,KOREAN,HIGH,PRIMARY,INDIA_TO_KOREA,2,0,S-0093;S-0099,P-0034
P-0038,Mohandas Karamchand Gandhi,PEOPLE,CARRIED,B4,NON_BUDDHIST,INDIAN,MEDIUM,MEDIATOR,INDIA_TO_KOREA,2,0,S-0081;S-0125,P-0038
P-0051,Ko Un,PEOPLE,CARRIED,B6,SEON_CHAN,KOREAN (South Korea),HIGH,SECONDARY,BIDIRECTIONAL,5,0,S-0148;S-0110;S-0117;S-0106;S-0008,P-0051
P-0052,Pŏpchŏng,PEOPLE,CARRIED,B5,SEON_CHAN,KOREAN (South Korea),HIGH,PRIMARY,INDIA_TO_KOREA,2,0,S-0025;S-0015,P-0052
P-0053,Lokesh Chandra,PEOPLE,CARRIED,B6,LAY_BUDDHIST,INDIAN,HIGH,PRIMARY,INDIA_TO_KOREA,4,0,S-0004;S-0183;S-0159;S-0067,P-0053
P-0054,Jung Seung-suk,PEOPLE,CARRIED,B6,UNKNOWN,KOREAN (South Korea),HIGH,SECONDARY,INDIA_TO_KOREA,2,0,S-0024;S-0118,P-0054
P-0055,U Myeong-ju,PEOPLE,CARRIED,B6,LAY_BUDDHIST,KOREAN (South Korea),HIGH,PRIMARY,BIDIRECTIONAL,1,1,S-0054,P-0055
P-0062,Buddhavara (Ven.),PEOPLE,CARRIED,B6,SEON_CHAN;THERAVADA_ORIENTED,KOREAN (South Korea; resident in India),MEDIUM,PRIMARY,KOREA_TO_INDIA,1,1,S-0018,P-0062
P-0063,Hyoseok (Ven.),PEOPLE,CARRIED,B6,SEON_CHAN,KOREAN (South Korea),HIGH,PRIMARY,INDIA_TO_KOREA,1,1,S-0063,P-0063
P-0064,Wookwan (Ven.),PEOPLE,CARRIED,B6,SEON_CHAN,KOREAN (South Korea),HIGH,PRIMARY,BIDIRECTIONAL,2,0,S-0076;S-0026,P-0064
P-0065,Gakseong (Ven.),PEOPLE,CARRIED,B6,SEON_CHAN,KOREAN (South Korea),HIGH,PRIMARY,INDIA_TO_KOREA,2,0,S-0019;S-0009,P-0065
P-0068,Sŏ Chŏng-ju,PEOPLE,CARRIED,B5,LAY_BUDDHIST,KOREAN (colonial Korea -> South Korea),MEDIUM,SECONDARY,INDIA_TO_KOREA,2,0,S-0177;S-0032,P-0068
P-0071,Vinoba Bhave,PEOPLE,CARRIED,B5,NON_BUDDHIST,INDIAN,MEDIUM,MEDIATOR,INDIA_TO_KOREA,1,1,S-0025,P-0071
P-0072,Yi Yŏng-jae,PEOPLE,CARRIED,B4,SEON_CHAN,KOREAN (colonial Korea),HIGH,PRIMARY,KOREA_TO_INDIA,5,0,S-0075;S-0013;S-0101;S-0077;S-0072,P-0072
P-0073,Hwang Su-yŏng,PEOPLE,CARRIED,B5,LAY_BUDDHIST,KOREAN,HIGH,PRIMARY,KOREA_TO_INDIA,2,0,S-0121;S-0062,P-0073
P-0074,Muhak Chach'o,PEOPLE,CARRIED,B2,SEON_CHAN,KOREAN,MEDIUM,MEDIATOR,INDIA_TO_KOREA,3,0,S-0064;S-0006;S-0020,P-0074
P-0075,Baegun Gyeonghan,PEOPLE,CARRIED,B2,SEON_CHAN,KOREAN,MEDIUM,SECONDARY,INDIA_TO_KOREA,2,0,S-0064;S-0006,P-0075
P-0076,Sitanshu Yashaschandra,PEOPLE,CARRIED,B5,NON_BUDDHIST,INDIAN,MEDIUM,SECONDARY,INDIA_TO_KOREA,1,1,S-0032,P-0076
P-0077,Ch'ukwŏn Chijŏn,PEOPLE,CARRIED,B2,SEON_CHAN,KOREAN,MEDIUM,SECONDARY,INDIA_TO_KOREA,2,0,S-0064;S-0006,P-0077
TX-0001,Wang ocheonchukguk jeon,TEXTS,CARRIED,B1,,,HIGH,Sole surviving 8th-c. East Asian record of India/Central Asia; key primary source for 8th-c. India;First Korean travel record of India; foundational for Korean India-studies,UNCERTAIN,,0,"Discovered at Dunhuang by Pelliot 1908; authorship confirmed by Takakusu 1915; first German translation by W. Fuchs 1938 (Huei-ch'ao's Pilgerreise durch Nordwest-Indien und Zentral-Asien um 726, Sitzungsberichte der Preussischen Akademie der Wissenschaften, Phil.-hist. Klasse XXX, 1938; pub. 1939 per KCI Lee Jae-won 2016) - encykorea E0039126 gives 1928, an error contradicted by the bibliographic record and the peer-reviewed KCI article; Ch'oe Nam-sŏn 1943 Korean edition",TX-0001
TX-0002,Haedong-so commentaries,TEXTS,CARRIED,B1,,,HIGH,"Commentary on Indian-origin text (Awakening of Faith, attributed to Asvaghosa);Korea's greatest Buddhist philosophical works; studied in Tang and Japan",UNCERTAIN,,0,,TX-0002
TX-0003,Samguk Yusa,TEXTS,CARRIED,B2,,,HIGH,"Preserves Marananta, Gyeomik, Heo Hwang-ok and Suro traditions of Indian contact;Most important Korean historical compendium after Samguk Sagi",UNCERTAIN,,0,c. 1283-1287,TX-0003
TX-0007,Chosŏn Pulgyo T'ongsa,TEXTS,CARRIED,B4,,,HIGH,Traces Korean Buddhism to Indian origins;First comprehensive Korean Buddhist history,UNCERTAIN,,0,Internet Archive scan available,TX-0007
TX-0010,The Lamp of the East (1929 message),TEXTS,CARRIED,B4,,,HIGH,Tagore's message to the Korean people;Korea's most beloved consolation text; monument at Daehak-ro,UNCERTAIN,,0,Authenticity controversy documented in notes of P-0030,TX-0010
TX-0012,Nim-ŭi Ch'immuk,TEXTS,CARRIED,B4,,,HIGH,Korean absorption of Tagore's spiritual lyricism (per KCI scholarship);Canonical Korean resistance poetry,UNCERTAIN,,0,,TX-0012
TX-0016,Chosŏn Pulgyo,TEXTS,CARRIED,B4,,,HIGH,Argues Buddhism reached Korea directly from India/Xiyu (northern route);Korean Buddhist history for Pan-Pacific Buddhist Youth Conference,UNCERTAIN,,0,,TX-0016
TX-0018,Muso-yu,TEXTS,CARRIED,B5,,,HIGH,Gandhi's words open the collection; Gandhian renunciation ethics;Bestselling Korean Buddhist essay collection,UNCERTAIN,,0,,TX-0018
TX-0019,Wookwan's Korean Temple Food,TEXTS,CARRIED,B6,,,HIGH,India-trained author (Delhi Univ. Buddhist studies);Korean temple food internationalization; IBPA Benjamin Franklin Award silver,UNCERTAIN,,0,,TX-0019
TX-0020,Morning Calm and The Pensive Beyond,TEXTS,CARRIED,B6,,,HIGH,India's foremost living Indologist on India-Korea interflow;Dedicated India-Korea cultural interflow study,UNCERTAIN,,0,"Aditya Prakashan, ISBN 978-8194085034",TX-0020
TX-0021,India and Korea Through the Ages,TEXTS,CARRIED,B6,,,HIGH,India-Korea historical/cultural relations;Korean studies in India,UNCERTAIN,,0,,TX-0021
TX-0028,Samguk Sagi,TEXTS,CARRIED,B2,,,HIGH,Records Marananta's 384 arrival and Baekje Buddhism;Korea's oldest extant history,UNCERTAIN,,0,Author: Kim Busik (not yet a dataset person),TX-0028
TX-0029,Seong yusik non hakki,TEXTS,CARRIED,B1,,,HIGH,Commentary on Cheng Weishi Lun (Indian Yogacara);Silla Yogacara scholarship,UNCERTAIN,,0,,TX-0029
