edge_id,source_node,target_node,source_type,target_type,connection_type,subtype,direction,confidence,historical_band,evidence_source_ids,legendary,underlying_record_id,evidence
E-0030,P-0062,I-0015,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B6,,0,MAP-P-0062-I-0015,Bunhwangsa India; Bodh Gaya International College of Buddhist Studies
E-0031,P-0062,I-0014,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B6,,0,MAP-P-0062-I-0014,Bunhwangsa India; Bodh Gaya International College of Buddhist Studies
E-0032,P-0063,I-0021,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,MEDIUM,B6,,0,MAP-P-0063-I-0021,"Bongnyeongsa mapped; ""Seoul Beopryongsa bhikkhuni hall"" not in institutions.csv"
E-0033,P-0064,I-0016,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,MEDIUM,B6,,0,MAP-P-0064-I-0016,"Mahayeon Temple Food Culture Center mapped; ""Bongwonsa"" not in institutions.csv"
E-0034,P-0068,I-0010,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B6,,0,MAP-P-0068-I-0010,Dongguk University (professor)
E-0035,P-0073,I-0010,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B6,,0,MAP-P-0073-I-0010,Dongguk University
E-0036,P-0074,I-0003,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B2,,0,MAP-P-0074-I-0003,Hoeamsa
E-0037,I-0022,EV-0001,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0147;S-0108;S-0080;S-0156,0,EV-0001-I-0022,S-0147;S-0108;S-0080;S-0156
E-0038,I-0023,EV-0001,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0147;S-0108;S-0080;S-0156,0,EV-0001-I-0023,S-0147;S-0108;S-0080;S-0156
E-0039,I-0026,EV-0002,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0109;S-0145,0,EV-0002-I-0026,S-0109;S-0145
E-0040,I-0026,EV-0003,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0158;S-0022;S-0069;S-0029,0,EV-0003-I-0026,S-0158;S-0022;S-0069;S-0029
E-0041,I-0024,EV-0004,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0087,0,EV-0004-I-0024,S-0087
E-0042,I-0012,EV-0005,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0018,0,EV-0005-I-0012,S-0018
E-0043,I-0014,EV-0005,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0018,0,EV-0005-I-0014,S-0018
E-0044,I-0022,EV-0006,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0011,0,EV-0006-I-0022,S-0011
E-0045,I-0022,EV-0007,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0085,0,EV-0007-I-0022,S-0085
E-0046,I-0015,EV-0008,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0071,0,EV-0008-I-0015,S-0071
E-0047,I-0015,EV-0009,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0065;S-0021;S-0115,0,EV-0009-I-0015,S-0065;S-0021;S-0115
E-0048,I-0022,EV-0009,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0065;S-0021;S-0115,0,EV-0009-I-0022,S-0065;S-0021;S-0115
E-0049,I-0026,EV-0010,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0066;S-0068;S-0033,0,EV-0010-I-0026,S-0066;S-0068;S-0033
E-0050,I-0026,EV-0011,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0070;S-0146;S-0028,0,EV-0011-I-0026,S-0070;S-0146;S-0028
E-0051,I-0027,EV-0012,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0090,0,EV-0012-I-0027,S-0090
E-0052,I-0028,EV-0013,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0010,0,EV-0013-I-0028,S-0010
E-0053,I-0022,EV-0014,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0074,0,EV-0014-I-0022,S-0074
E-0054,I-0030,EV-0015,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B5,S-0030;S-0062,0,EV-0015-I-0030,S-0030;S-0062
E-0055,I-0010,EV-0016,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0062,0,EV-0016-I-0010,S-0062
E-0056,I-0031,EV-0016,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0062,0,EV-0016-I-0031,S-0062
E-0057,I-0003,EV-0017,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B2,S-0020;S-0064,0,EV-0017-I-0003,S-0020;S-0064
E-0058,I-0003,EV-0018,INSTITUTIONS,EVENTS,INSTITUTIONAL,ORGANIZER,INSTITUTION_TO_EVENT,HIGH,B6,S-0059;S-0073,0,EV-0018-I-0003,S-0059;S-0073
E-0059,P-0062,EV-0005,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,MEDIUM,B6,,0,PE-P-0062-EV-0005,BGICBS Chancellor (signatory institution's monastic head) per BTN (btn_buddhavara)
E-0060,EP-0001,EV-0010,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0001-EV-0010,Jogye 해외특별교구 교구장 직무대행; attended GBS 2023 as official representative on behalf of 총무원장 (hyunbulnews_gbs2023)
E-0061,EP-0002,EV-0003,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0002-EV-0003,Jogye 국제교류위원/제전법단장; attended 2nd GBS 2026 as representative of 총무원장 Jinwoo (tongbulgyo_gbs2026)
E-0062,EP-0003,EV-0003,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0003-EV-0003,Congratulatory message read aloud by Munjong on behalf of 총무원장 Jinwoo (tongbulgyo_gbs2026)
E-0063,EP-0004,EV-0009,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0004-EV-0009,Led the 150-person Jogye official delegation to the Bunhwangsa India dedication (hyunbulnews_bunhwangsa_2022)
E-0064,EP-0005,EV-0002,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0005-EV-0002,Received the IBC Buddha statue as president of the Lay Buddhist Association of the Jogye Order (koreaherald_bexpo2026)
E-0065,EP-0006,EV-0002,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0006-EV-0002,Presented the Buddha statue as IBC Director General at Bexpo 2026 (koreaherald_bexpo2026)
E-0066,EP-0006,EV-0011,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0006-EV-0011,IBC Director General; spoke at ICYBS 2025 and announced broadening the conference to neighboring countries (ibcworld_icybs2025)
E-0067,EP-0007,EV-0004,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0007-EV-0004,Jungto Society founder; leads the annual India pilgrimage program (jungto_india)
E-0068,EP-0008,EV-0014,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0008-EV-0014,Jogye 중앙종회의장; represented the order at the 50th-anniversary exchange (ibulgyo_jogye50th_2023)
E-0069,EP-0009,EV-0014,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B6,,0,PE-EP-0009-EV-0014,ROK Ambassador to India; hosted the temple-food dinner at the ambassador's residence (ibulgyo_jogye50th_2023)
E-0070,EP-0010,EV-0015,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,HIGH,B5,,0,PE-EP-0010-EV-0015,"6-member delegation dispatched by 국제불교문제연구소; toured Indian sacred sites, met PM Gandhi, donated the Tripitaka facsimile at Nalanda (donga_delegation_1982)"
E-0071,P-0024,EV-0017,PEOPLE,EVENTS,INSTITUTIONAL,EVENT_PARTICIPATION,PERSON_TO_EVENT,MEDIUM,B2,,0,PE-P-0024-EV-0017,Naong supervised construction of the 1370 relic stupa on King Kongmin's order (buddhaland_hoeamsa_1370)
