person_id,full_name,name_variants,korean_name_hangul,korean_name_hanja,indian_local_name_variants,birth_year,birth_date_precision,death_year,death_date_precision,nationality_region,period,profession_role,religious_affiliation,institution_org,india_connection,korea_connection,relationship_type,physically_traveled,travel_summary,direction_of_influence,exchange_types,evidence_of_influence,historical_significance,confidence,notes,data_entry_date,status,source_ids
P-0011,Gyeomik,Kyŏmik; Gyomik; 謙益,겸익,謙益,,,UNKNOWN,,UNKNOWN,KOREAN (Baekje),ANCIENT,Monk; Vinaya (Lu) scholar-translator,Buddhism (Vinaya),"Sangana Great Vinaya Monastery (常伽那大律寺), Central India; Heungnyunsa (Baekje)",Travelled to India by sea in 526 (Seongwang 4); studied Sanskrit 5 years at Sangana; returned 531 with Indian monk Baedalta bearing Sanskrit Abhidharma and Five-Part Vinaya texts,Translated 72 volumes of Vinaya with 28 monks; founded the Baekje Vinaya school,DIRECT,YES,"Sea route out (526) -> Central India (Sangana, 5 years) -> return 531 via sea with Indian Vinaya master Baedalta",INDIA_TO_KOREA,RELIGIOUS;LINGUISTIC;INTELLECTUAL,Recorded in Korean tradition (Samguk Yusa and later compilations); encyclopedia entries on the Baekje Vinaya school,Baekje's greatest documented Indian pilgrim; brought Vinaya and Sanskrit scholarship to Korea,MEDIUM,Recorded in Korean Buddhist tradition; surviving sources are later compilations.,2026-08-16,PARTIAL,S-0036;S-0171
P-0012,Baedalta,倍達多 (modern Sanskrit reconstruction not attested),,倍達多,,,UNKNOWN,,UNKNOWN,INDIAN,ANCIENT,Indian Tripitaka master (三藏),Buddhism,(travelled with Gyeomik),"Indian monk who accompanied Gyeomik to Baekje in 531, carrying Sanskrit Abhidharma and Vinaya texts",His arrival in Baekje (531) supported the establishment of the Vinaya school,DIRECT,YES,"India -> Baekje by sea, 531 CE (with Gyeomik)",INDIA_TO_KOREA,RELIGIOUS,Korean Buddhist tradition (via Gyeomik narrative); encyclopedia entries on Baekje Vinaya,Attested Indian monk physically present in Korea; rare documented 6th-century India-to-Korea movement,MEDIUM,Hanja given in tradition; do not assert a specific Sanskrit reconstruction.,2026-08-16,PARTIAL,S-0036;S-0171
P-0013,Ariyabalma,阿離耶跋摩,,阿離耶跋摩,,,UNKNOWN,,UNKNOWN,KOREAN (Silla),ANCIENT,Pilgrim monk,Buddhism,Nalanda Mahavihara,"From Chang'an went to India, stayed at Nalanda, studied sutras and died there aged 70+",Recorded in Yijing's Da Tang Xiyu qiufa gaoseng zhuan (大唐西域求法高僧傳) as a Silla person (新罗人),DIRECT,YES,Silla -> Chang'an -> Nalanda (Central India); died at Nalanda,KOREA_TO_INDIA,RELIGIOUS;INTELLECTUAL,Yijing's 7th-century record (contemporary witness); modern Korean scholarship (KCI),Contemporary 7th-century testimony of a Silla monk resident at Nalanda,MEDIUM,"Recorded by Yijing (義淨), who visited India 671-695.",2026-08-16,VERIFIED,S-0186;S-0061
P-0014,Hyeeop,Hyŏp; 慧業,혜업,慧業,,,UNKNOWN,,UNKNOWN,KOREAN (Silla),ANCIENT,Pilgrim monk,Buddhism,Bodhi temple (Bodhgaya); Nalanda,"Travelled to India, dwelt at Bodhi temple (Bodhgaya) and Nalanda; died there aged ~60; his Sanskrit manuscripts were seen at Nalanda by Yijing's party",Silla monk; noted in a colophon as '新罗僧慧业写记' at the Buddha-tooth tree,DIRECT,YES,"Silla -> India (Bodhgaya, Nalanda); died in India",KOREA_TO_INDIA,RELIGIOUS;INTELLECTUAL,Yijing's Da Tang Xiyu qiufa gaoseng zhuan,Physical presence of a Silla monk at Bodhgaya/Nalanda attested in Yijing's record,MEDIUM,NULL,2026-08-16,VERIFIED,S-0186;S-0061
P-0015,Hyŏnt'ae,賢泰,현태,賢泰,,,UNKNOWN,,UNKNOWN,KOREAN (Silla),ANCIENT,Pilgrim monk,Buddhism,,Travelled to India; returned to Tang; died in China,Silla monk recorded among the Silla contingent in Yijing's compilation,DIRECT,YES,Silla -> India -> Tang (died in China),KOREA_TO_INDIA,RELIGIOUS,Yijing's Da Tang Xiyu qiufa gaoseng zhuan,Part of the documented 7th-century Silla cohort at Indian Buddhist sites,MEDIUM,NULL,2026-08-16,VERIFIED,S-0186;S-0061
P-0016,Hyŏngak,玄恪,현각,玄恪,,,UNKNOWN,,UNKNOWN,KOREAN (Silla),ANCIENT,Pilgrim monk,Buddhism,,Accompanied Chinese monk Xuanzhao (玄照) in the Zhenguan era to Dajue Temple (Bodhgaya); died sick there in his 40s,Silla monk recorded in Yijing's compilation,DIRECT,YES,Silla -> India (with Xuanzhao) -> died at Bodhgaya,KOREA_TO_INDIA,RELIGIOUS,Yijing's Da Tang Xiyu qiufa gaoseng zhuan,Documented Silla monk who died at Bodhgaya in the 7th century,MEDIUM,NULL,2026-08-16,VERIFIED,S-0186;S-0061
P-0017,Gubon,求本,구본,求本,,,UNKNOWN,,UNKNOWN,KOREAN (Silla),ANCIENT,Pilgrim monk,Buddhism,,Went to India (recorded with the Silla contingent in Yijing),Silla monk recorded in Yijing's compilation,DIRECT,YES,Silla -> India,KOREA_TO_INDIA,RELIGIOUS,Yijing's Da Tang Xiyu qiufa gaoseng zhuan,Part of the documented 7th-century Silla cohort in India,MEDIUM,NULL,2026-08-16,VERIFIED,S-0186;S-0061
P-0018,Hyeryun,慧輪,혜륜,慧輪,,,UNKNOWN,,UNKNOWN,KOREAN (Silla; reading per Kim Bok-soon; Yijing wrote 高麗),ANCIENT,Pilgrim monk,Buddhism,,Included in Yijing's Da Tang Xiyu qiufa gaoseng zhuan among Korean monks,Korean monk; linked to the 高麗-雞貴 identification question,DIRECT,YES,Korea -> (per Yijing) India route network,KOREA_TO_INDIA,RELIGIOUS,Yijing's Da Tang Xiyu qiufa gaoseng zhuan; KCI scholarship (Kim Bok-soon),Contributes to the documented Korean monastic presence in Yijing's India network,MEDIUM,"Identification as Silla vs Koguryo/Goryeo debated (Yijing wrote '高麗'). Note: Yijing's 雞貴 gloss ('矩矩吒是雞，醫說羅是貴，即高麗國也') is an ethnonym for the Korean people, not a monk - the former P-0019 record was removed on that basis.",2026-08-16,PARTIAL,S-0097;S-0061;S-0186
P-0020,Ojin,悟真,오진,悟真,,,UNKNOWN,,UNKNOWN,KOREAN (Silla),ANCIENT,Esoteric Buddhist monk,Buddhism (Esoteric),Tang (Chang'an) milieu; studied under Hyegwa (慧果),"Went to Tang with Hyeil (惠日, c. 789, King Wonseong era); went to Central India and died in Tibet",Silla esoteric monk; part of the Amoghavajra-lineage transmission to Silla,DIRECT,YES,Silla -> Tang -> Central India -> Tibet (death),KOREA_TO_INDIA,RELIGIOUS,KCI scholarship (Ko Young-seop on Lamotte); EncyKorea '밀교',Documented late-8th-century Silla monk who reached Central India,MEDIUM,NULL,2026-08-16,VERIFIED,S-0100;S-0045
P-0021,Wonpyo,원표 (元表 in some transcriptions),원표,,,,UNKNOWN,,UNKNOWN,KOREAN (Unified Silla),ANCIENT,Monk,Buddhism,,"Travelled to India via Tang (King Gyeongdeok era, 742-765); returned to Tang and died in China",Unified Silla monk,DIRECT,YES,Silla -> Tang -> India -> Tang (death in China),KOREA_TO_INDIA,RELIGIOUS,KCI scholarship (Ko Young-seop on Lamotte),Documented 8th-century Unified Silla monk who reached India,MEDIUM,Transcription varies (원표/元表).,2026-08-16,VERIFIED,S-0100
P-0022,Hyŏnyu,賢遊? (transcription uncertain),현유,,,,UNKNOWN,,UNKNOWN,KOREAN (Goguryeo),ANCIENT,Monk,Buddhism,,Followed Chinese monk Sengche (僧哲) to Sri Lanka and was ordained there (South Asian connection; not mainland India),Goguryeo monk,DIRECT,YES,Goguryeo -> (via China) -> Sri Lanka; ordained there,UNCERTAIN,RELIGIOUS,KCI scholarship (Ko Young-seop on Lamotte),Documented Korean monk in the South Asian monastic world (Sri Lanka) in the 7th century,MEDIUM,Connection is to Sri Lanka rather than mainland India; direction of influence for India-Korea exchange uncertain.,2026-08-16,PARTIAL,S-0100
P-0023,Dhyānabhadra,Jikong (指空); Shikong; Śūnyadiśya-Dhyānabhadra; Zhikong Chanxian,지공,指空,Śūnyadiśya-Dhyānabhadra,1289,APPROX,1363,YEAR,INDIAN (Magadha),MEDIEVAL,Indian Buddhist master; Seon/Chan patriarch,Buddhism (Chan/Seon transmission),Ordained at Nalanda; founded Hoeamsa (회암사) 1328,Born in Magadha (Indian royal family per tradition); ordained at Nalanda; famous in India before leaving,Invited by King Ch'ungsuk (met at Mongol court); came to Goryeo 1326; founded Hoeamsa 1328 (reportedly modeled on Nalanda); influenced Korean Seon students incl. Naong Hyegeun and Muhak Chach'o; King Kongmin later sent his relics to Goryeo,DIRECT,YES,Magadha -> (Tibet) -> Yuan China -> Goryeo (1326) -> Yuan China; died 1363 (relics sent to Goryeo),INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL;CULTURAL,Hagiographical and scholastic records; temple foundation (Hoeamsa 1328); lineage transmission to Naong and Muhak,The last great Indian monk active in Korea; key figure in late-Goryeo Seon formation,HIGH,"Biography contains hagiographical elements (Indian royal family per tradition; ordained at Nalanda at age 8, completed training at 19 - per Yangju Hoeamsa museum and stele tradition). Core facts standard across sources: Magadha -> Yuan Dadu -> Goryeo 1326 (Ch'ungsuk era) -> Dadu Beopwonsa; died 1363; Hoeamsa stupa erected 1372 (壬子; stele text by Yi Saek).",2026-08-16,VERIFIED,S-0052;S-0164;S-0185;S-0041;S-0138
P-0024,Naong Hyegeun,懶翁 惠勤,나옹 혜근,懶翁惠勤,,1320,YEAR,1376,YEAR,KOREAN (Goryeo),MEDIEVAL,Seon monk,Buddhism (Seon),Sungsusa; Wangryunsa milieu,"Received bodhisattva precepts from the Indian master Dhyānabhadra (Jikong) at age 7 (at Sungsusa) and met him again in Yuan China at age 38, receiving Jikong's exhortation to return to Korea",Major Goryeo Seon master; successor-influence of Jikong's lineage,MEDIATED,NO,Travelled to Yuan China (not India); India connection entirely mediated through Jikong,INDIA_TO_KOREA,RELIGIOUS,KCI scholarship (Ko Young-seop on Lamotte) documenting the Jikong-Naong relationship,The channel through which the Indian monk Dhyānabhadra's teaching entered mainstream Goryeo Seon,MEDIUM,No personal travel to India; relationship mediated via the Indian master Jikong.,2026-08-16,VERIFIED,S-0100
P-0025,Yi Su-gwang,Yi Sugwang; Lee Soo-kwang; pen name Jibong (芝峰),이수광,李睟光,,1563,YEAR,1628,YEAR,KOREAN (Joseon),EARLY_MODERN,Scholar-official; encyclopedist; envoy to Ming China,Confucian,Joseon court; 1609-1611 mission to Ming,"Compiled the Foreign Countries (外國) section of Jibong yuseol with entries on India-linked polities - Bengal (榜葛剌), Ceylon (錫蘭山), Calicut (古俚) - based on Ming-era Chinese sources; among the earliest organized channels of India-related geographic knowledge into Joseon",National cultural figure; Jibong yuseol (1614) is the foundational Korean encyclopedia,MEDIATED,NO,Travelled to Ming China (1609-11); never to India,INDIA_TO_KOREA,INTELLECTUAL;CULTURAL,Jibong yuseol Foreign Countries section; Yeungnam University Press scholarly edition,First systematic Joseon-era encyclopedic intake of Indian subcontinent geography,HIGH,"India content enters via Chinese-world geography, not direct observation.",2026-08-16,VERIFIED,S-0182;S-0187
P-0026,Yi Kyu-gyŏng,Yi Kyugyong,이규경,李圭景,,1788,YEAR,1856,YEAR,KOREAN (Joseon),EARLY_MODERN,Silhak scholar; encyclopedist,Confucian,None (private scholar),"UNCERTAIN - his encyclopedia Oju yŏnmun changjŏn san'go (60 books, 1,417 topics; ~80 items on Western learning and world geography) plausibly contains India-related entries, but no specific India entry was verified in this pilot",One of Joseon's greatest encyclopedists; Oju is a national cultural monument,UNCERTAIN,NO,Did not travel abroad,UNCERTAIN,INTELLECTUAL,NULL (India-specific entries not yet located),Representative late-Joseon encyclopedic frame for absorbing world (incl. Asian) knowledge,LOW,"Born 1788-08-05, died 1856-05-16 (Korean Wikipedia; lunar dates). Follow-up needed: locate India entries (e.g., 天竺, 佛國) inside Oju itself.",2026-08-16,PARTIAL,S-0181;S-0174;S-0107
P-0027,Ch'oe Han-gi,Choe Hangi; Choi Han-ki,최한기,崔漢綺,,1803,YEAR,1877,YEAR,KOREAN (Joseon),EARLY_MODERN,Silhak philosopher; geographer; encyclopedist,Confucian (with interest in Western sciences),NULL,"Authored Jiguyŏn'gu (地球典要, 1857), a world-geography compendium introducing the Indian subcontinent to Korean readers, compiled chiefly from Xu Jiyu's Yinghuan zhilüe (瀛寰志略) and Wei Yuan's Haiguo tuzhi (海國圖志)",Major Silhak figure; pre-modern Korean systematizer of world geography,MEDIATED,NO,Never travelled outside Korea,INDIA_TO_KOREA,INTELLECTUAL;CULTURAL,"EncyKorea entry on Jiguyŏn'gu (E0054094) confirming work, sources and scope; KCI scholarship (Sohn Yong-Taek)",First complete Korean-language world geography including India's place in the Asian world,HIGH,"India appears as part of the world-region survey, not a standalone study.",2026-08-16,VERIFIED,S-0042;S-0102
P-0028,Yi Nŭng-hwa,"Yi Neunghwa; courtesy name Chahyŏn; pen names Kanjŏng, Sanghyŏn, Munŭng kŏsa",이능화,李能和,,1869,DAY,1943,DAY,KOREAN (Joseon -> colonial Korea),MODERN,Historian; religious scholar; folklorist ('father of Korean religious studies'); school principal,None (studied all religions comparatively),Hanseong Law-French School (principal); Chosŏn History Compilation Committee; Jungang Buddhist College lecturer,"In Chosŏn Pulgyo T'ongsa (朝鮮佛敎通史, 1918) wrote the first comprehensive Korean Buddhist history tracing Korean Buddhism to its Indian origins; his comparative-religion framework (Paekkyo hoet'ong, 1912) engaged Indian religions",National religious historian; pioneer of Korean religious studies,MEDIATED,NO,Visited Japan once on official inspection (1906-07); never India,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL;ACADEMIC,Chosŏn Pulgyo T'ongsa (Internet Archive scan); EncyKorea and AKS biographical entries,Definitive early-20th-century account of Korean Buddhism's Indian-rooted history,HIGH,Date discrepancy resolved: 1869-1943 per EncyKorea/AKS (Internet Archive's '1865-1945' is an error). Colonial-era record includes pro-Japanese designations.,2026-08-16,VERIFIED,S-0050;S-0003;S-0005
P-0029,Ch'oe Nam-sŏn,Choi Nam-sun; pen name Yuktang (六堂),최남선,崔南善,,1890,YEAR,1957,YEAR,KOREAN (Korean Empire -> colonial Korea),MODERN,Enlightenment thinker; historian; publisher; magazine editor,None (wrote on Buddhism as national culture),T'aegŭk kwangmunhoe; Ch'ŏngch'un magazine,"(a) Met Tagore at his Imperial University lecture in Tokyo, 1916 (first documented Korean-intellectual contact with Tagore); (b) in Chosŏn Pulgyo (1930, written for the Korean delegation to the Hawai'i Pan-Pacific Buddhist Youth Conference) argued Buddhism reached Korea directly from India/Xiyu via a 'northern route', independent of the China route; coined the scheme: India's introductory Buddhism, China's sectional Buddhism, Korea's conclusive Buddhism",National enlightenment icon; Dangun/Bulham culture theory,DIRECT,NO,Studied in Japan (Tokyo); met Tagore there 1916; never visited India,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL;CULTURAL,budreview.com profile (Kim Young-jin 2013) quoting the India/Xiyu direct-route claim; beopbo.com on Chosŏn Pulgyo (2004); EncyKorea '통불교사상',Cast Korea as the culmination (not periphery) of India-originated Buddhism in world civilizational history,HIGH,Beware the widespread 'Yuktang requested Song of the Defeated' myth - corrected by Hong Eun-taek (the request was made by Chin Hak-mun).,2026-08-16,VERIFIED,S-0023;S-0012;S-0047
