source_id,source_key,citation,source_type,url,archive_database,accessed_date,reliability,notes
S-0014,beopbo_yeoraesunwon,"Beopbo (2011-06-30): Yeoraesunwon Bodh Gaya - 10 years of alms-supported operation, abbot Wonman sunim, 달마학교 (Dharma School) for children",NEWS,https://www.beopbo.com/news/articleView.html?idxno=66399,Beopbo (법보신문),2026-08-16,INSTITUTIONAL,
S-0015,beopjeong_site,Beopjeong memorial website,WEBSITE,http://beopjeong.clean94.or.kr,beopjeong.clean94.or.kr,2026-08-16,INSTITUTIONAL,
S-0016,britannica_kwc,"Britannica, 'Kim Woo Choong'",TERTIARY,https://www.britannica.com/money/Kim-Woo-Choong,Britannica,2026-08-16,AUTHORITATIVE,
S-0017,britannica_lee,"Britannica, 'Lee Kun-Hee'",TERTIARY,https://www.britannica.com/money/Lee-Kun-Hee,Britannica,2026-08-16,AUTHORITATIVE,
S-0018,btn_buddhavara,"BTN (2026-04-23), 붓다가야 국제승가대학-델리대학 MOU",NEWS,https://www.btnnews.tv/news/articleView.html?idxno=89786,BTN (불교TV),2026-08-16,POPULAR,
S-0019,btn_gakseong,"BTN (2020-10-02), 각성스님 영결식 report",NEWS,http://www.btnnews.tv/news/articleView.html?idxno=62974,BTN (불교TV),2026-08-16,POPULAR,
S-0020,buddhaland_hoeamsa_1370,"Dongguk University Buddhist Culture Portal (불교문화포털, buddhaland.dongguk.edu, KBDI0001421) '지공' entry: on King Kongmin's order (1370) a stupa enshrining Jikong's relics was built at Hoeamsa, supervised by Naong, declaring Naong's succession of Jikong",DATABASE,https://buddhaland.dongguk.edu/bulVoca/view?dataId=KBDI0001421,Dongguk University Buddhist Culture Portal,2026-08-16,AUTHORITATIVE,
S-0021,buddhismorkr_bunhwangsa_2022,Jogye Order official news (2022): Bunhwangsa India 대웅보전 준공식; project launched 2019-04 by 36th administration (백만원력결집),WEBSITE,https://www.buddhism.or.kr/m/board/view.php,Jogye Order (buddhism.or.kr),2026-08-16,INSTITUTIONAL,
S-0022,buddhistdoor_gbs2026,"Buddhist Door Tea House (2026-01-18): 2nd Global Buddhist Summit 2026, Bharat Mandapam, New Delhi, 24-25 Jan 2026; IBC + Ministry of Culture; theme 'Collective Wisdom, United Voice and Mutual Coexistence'; ~200 delegates",NEWS,https://teahouse.buddhistdoor.net/2nd-global-buddhist-summit-2026-to-bring-together-buddhist-leaders-in-new-delhi,Buddhist Door Tea House,2026-08-16,INSTITUTIONAL,
S-0023,budreview_choenamsun,"Kim Young-jin, '근현대 불교인물 탐구: 최남선', Bulgyo Review (2013-06-19)",SECONDARY,https://www.budreview.com/news/articleView.html?idxno=1310,Bulgyo Review,2026-08-16,ACADEMIC,
S-0024,budreview_jung,"Bulgyo Review, Jung Seung-suk author/article page",WEBSITE,https://www.budreview.com/news/articleView.html?idxno=20138,Bulgyo Review,2026-08-16,ACADEMIC,
S-0025,bulkwang_beopjeong,"Bulkwang (2024-06-13), '법정 스님의 인도' - India trip and Vinoba Bhave meeting",NEWS,https://www.bulkwang.co.kr/news/articleView.html?idxno=38670,Bulkwang (불광),2026-08-16,POPULAR,
S-0026,cheonji_wookwan,"Cheonji Ilbo (2010-11-08), Mahayeon founder interview with Wookwan",NEWS,http://www.newscj.com/news/articleView.html?idxno=59154,Cheonji Ilbo,2026-08-16,POPULAR,
S-0027,companycheck_samsung,"CompanyCheck/MCA record, Samsung India Electronics Pvt. Ltd. (CIN U31900DL1995PTC071387, incorporated 03-08-1995)",DATABASE,https://www.thecompanycheck.com/company/samsung-india-electronics-private-limited/U31900DL1995PTC071387,MCA / CompanyCheck,2026-08-16,INSTITUTIONAL,
S-0028,ddindia_icybs2025,"DD India (2025-08): 3rd International Conference of Young Buddhist Scholars (ICYBS), Dr Ambedkar International Centre, Delhi, Aug 2025; IBC + Ministry of Culture; theme 'Wisdom Transmission in 21st Century'",NEWS,https://ddindia.co.in/2025/08/icybs-2025/,DD India,2026-08-16,POPULAR,
S-0029,ddnews_gbs2026,"DD News (2026-01-18): 2nd Global Buddhist Summit speakers - Thailand, Vietnam, India, Bhutan, Myanmar, Nepal, Japan, Taiwan, US; no Korean speaker named; ~200 delegates, 800+ attendees",NEWS,https://ddnews.gov.in/en/second-global-buddhist-summit-to-be-held-in-delhi-on-january-24-25/,DD News (Govt of India),2026-08-16,INSTITUTIONAL,
S-0030,donga_delegation_1982,"Dong-A Ilbo 1982-01-19 p.6: '간디首相에 梵鐘전달 佛教대표단 聖地순례' - 6-member Korean Buddhist delegation dispatched by 국제불교문제연구소 toured India's sacred sites (Dec 1981); met PM Indira Gandhi ~30 min, presenting a Silla gold-crown replica and a Buddhist bell; visited Nalanda, donating a Haeinsa Tripitaka Koreana facsimile as research material for Korean Buddhist studies; agreed Kelaniya Temple-Bongeunsa sisterhood in Sri Lanka; director (소장) Kim Gwang-tae (김광태) reported",PRIMARY,https://newslibrary.naver.com/viewer/index.naver?articleId=1982011900209206010&editNo=2&printCount=1&publishDate=1982-01-19&officeId=00020&pageNo=6&printNo=18551&publishType=00020,Dong-A Ilbo (via Naver News Library),2026-08-16,AUTHORITATIVE,
S-0031,donga_tagore,Dong-a Ilbo (2013-05-19) on the Tagore message publication,NEWS,https://www.donga.com/news/Society/article/all/20130520/55260892/1,Dong-a Ilbo,2026-08-16,POPULAR,
S-0032,donggukmedia_seo_yashaschandra,"Dongguk University newspaper (동대신문) '[휴게실] 徐廷柱敎授, 印度詩人 야산챤드라 와' (reposted 2010-08-11): Indian poet Sitanshu Yashaschandra visited Dongguk University and met Sŏ Chŏng-ju (문리대학장); they discussed the mainstream/current state of Indian poetry and Korean-Indian literary exchange; Yashaschandra praised Sŏ's Hwasa for its compassion; proposed mutual poetry translation and a '자비회' literary society; original article date unstated",NEWS,https://www.donggukmedia.com/news/articleView.html?idxno=9701,Dongguk University Media Center (동대신문),2026-08-16,INSTITUTIONAL,
S-0033,drishtiias_gbs2023,"Drishti IAS (2023): Global Buddhist Summit 2023 New Delhi - 173 international participants incl. 84 Sangha, 151 Indian",NEWS,https://www.drishtiias.com/daily-updates/daily-news-analysis/global-buddhist-summit-2023,Drishti IAS,2026-08-16,POPULAR,
S-0034,dvidshub_panikkar,"DVIDS, 'China Threatens Intervention in Korean War (3 OCT 1950)'",SECONDARY,https://www.dvidshub.net/news/454943/china-threatens-intervention-korean-war-3-oct-1950,DVIDS (US DoD),2026-08-16,INSTITUTIONAL,
S-0035,embassy_india,"Embassy of India, Seoul - bilateral history page",WEBSITE,https://indembassy.or.kr/pages.php?id=21,"Embassy of India, Seoul",2026-08-16,INSTITUTIONAL,
S-0036,encyclopedia_kyomik,"Encyclopedia.com, 'Kyŏmik' (Baekje Vinaya)",TERTIARY,https://www.encyclopedia.com/religion/dictionaries-thesauruses-pictures-and-press-releases/kyomik,Encyclopedia.com,2026-08-16,INSTITUTIONAL,
S-0037,encykorea_gyeongheung,"Encyclopedia of Korean Culture, '경흥'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0003027,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0038,encykorea_haedongjong,"Encyclopedia of Korean Culture, '해동종'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0062550,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0039,encykorea_hyecho,"Encyclopedia of Korean Culture, '혜초'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0063646,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0040,encykorea_ikwangsu,"Encyclopedia of Korean Culture, '이광수'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0043688,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0041,encykorea_jigong,"Encyclopedia of Korean Culture, '지공선사 부도 및 석등' (Hoeamsa Jigong stupa)",TERTIARY,https://encykorea.aks.ac.kr/Article/E0054079,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0042,encykorea_jigujeonyo,"Encyclopedia of Korean Culture, '지구전요'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0054094,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0043,encykorea_kim_iryeop,"Encyclopedia of Korean Culture, '김일엽' (E0010283): nun-poet biography - Japan study, 신여자 magazine 1920, Pulgyo magazine, Sudeoksa 1928",TERTIARY,https://encykorea.aks.ac.kr/Contents/Item/E0010283,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0044,encykorea_marananta,"Encyclopedia of Korean Culture, '마라난타' (인도의 승려)",TERTIARY,https://encykorea.aks.ac.kr/Article/E0017322,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0045,encykorea_milgyo,"Encyclopedia of Korean Culture, '밀교'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0020385,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0046,encykorea_taehyeon,"Encyclopedia of Korean Culture, '태현'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0059103,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0047,encykorea_tongbulgyo,"Encyclopedia of Korean Culture, '통불교사상'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0059330,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0048,encykorea_wangoj,"Encyclopedia of Korean Culture, '왕오천축국전'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0039126,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0049,encykorea_wonhyo,"Encyclopedia of Korean Culture, '원효'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0040908,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0050,encykorea_yineunghwa,"Encyclopedia of Korean Culture, '이능화'",TERTIARY,https://encykorea.aks.ac.kr/Article/E0043938,Encyclopedia of Korean Culture (AKS),2026-08-16,AUTHORITATIVE,
S-0051,eob_woncheuk,"Encyclopedia of Buddhism, 'Wŏnch'ŭk'",TERTIARY,https://encyclopediaofbuddhism.org/wiki/W%C5%8Fnch%27%C5%ADk,Encyclopedia of Buddhism,2026-08-16,INSTITUTIONAL,
S-0052,eob_zhikong,"Encyclopedia of Buddhism, 'Zhikong Chanxian'",TERTIARY,https://encyclopediaofbuddhism.org/wiki/Zhikong_Chanxian,Encyclopedia of Buddhism,2026-08-16,INSTITUTIONAL,
S-0053,ggbn_delhi_pune,Korean Buddhist outlet (2019-03-19): Delhi University and Pune University are the most-chosen universities by Korean Buddhist-students (불교를 전공하는 한국인 최다 선택),NEWS,https://www.ggbn.co.kr/news/articleView.html?idxno=38055,GGBN (Korean),2026-08-16,POPULAR,
S-0054,ggbn_umyeongju,"U Myeong-ju, '세계의 불교대학2: 인도 델리대학', GGBn (2019-03-19)",NEWS,https://www.ggbn.co.kr/news/articleView.html?idxno=38055,GGBn (굿모닝불교),2026-08-16,POPULAR,
S-0055,googlebooks_icf,"'History of the Custodian Force (India) in Korea, 1953-54' (official history), Google Books",PRIMARY,https://books.google.com/books?id=KIcUGQAACAAJ,Google Books,2026-08-16,AUTHORITATIVE,
S-0056,goryeosa_db,Goryeosa database (National Institute of Korean History) - negative result: no Hyeil India journey found,ARCHIVAL,https://db.history.go.kr/goryeo/,National Institute of Korean History DB,2026-08-16,AUTHORITATIVE,
S-0057,hani_kimchiha_2026,"Hani (한겨레) 2026-07-03, 강성만: interview with 임진택 on '김지하를 다시 본다' - documents Kim Chi-ha's life philosophy as rooted in Donghak (수운 최제우's 시천주; 해월 최시형's 향아설위), 증산도 개벽사상, Buddhism and Christianity; no Gandhi/India influence mentioned; 1982 '원주 문건' (생명의 세계관 확립과 협동적 생존의 확장) as the founding text of the Korean life movement",NEWS,https://www.hani.co.kr/arti/culture/book/1177518.html,Hani (한겨레),2026-08-16,INSTITUTIONAL,
S-0058,hani_woj_2019,"Hani (한겨레) 2019-10-19: '혜초의 왕오천축국전 고국 찾아온다' - second BnF loan approved (17 Oct 2019) for the NMK exhibition Dec 2019 - Apr 2020; manuscript 358.6cm scroll, 227 lines, 5,893 characters; Pelliot discovery 1908; Takakusu Junjiro's 1915 Silla attribution; Ch'oe Nam-sŏn's 1943 Korean introduction",NEWS,https://www.hani.co.kr/arti/culture/culture_general/428121.html,Hani (한겨레),2026-08-16,INSTITUTIONAL,
S-0059,hankookilbo_hoeamsa_relics_2024,"Hankook Ilbo 2024-04-17: Hoeamsa sarira return finalized - relics of Jikong/Naong plus Buddha relics (brought from India by Jikong) illegally removed in the colonial era, acquired by Boston MFA 1939; return agreed after the 2023 US state visit; delivered 2024-04-16, Korea arrival 04-18, relocation rite at Jogye 04-19, re-enshrinement at Hoeamsa 2024-05-19",NEWS,https://www.hankookilbo.com/News/Read/A2024041708440002013?did=GO,Hankook Ilbo (한국일보),2026-08-16,INSTITUTIONAL,
S-0060,hathi_divik,"HathiTrust catalog, 'The day breaks O! India' (Choyi Kim Yang-Shik, Hindi tr. Divik Ramesh)",DATABASE,https://catalog.hathitrust.org/Record/003818155,HathiTrust,2026-08-16,INSTITUTIONAL,
S-0061,historylibrary_silla,"Shin Dong-hun, '삼국통일 전 인도에 도착한 신라스님들' (Silla monks who reached India before unification)",SECONDARY,https://historylibrary.net/entry/삼국통일-전-인도에-도착한-신라스님들,History Library (historylibrary.net),2026-08-16,ACADEMIC,
S-0062,hyunbul_dongguk_nalanda,"Hyunbul News (2023-02-27): '동국대, 날란다大 MOU... 공동 교육·연구 협력' - Dongguk University-Nalanda University academic MOU signed 2023-02-24 at Nalanda (VC Sunaina Singh; Dongguk 건학위원장 돈관 스님, 총장 윤재웅); joint education/research + '순례' themed conference + Korea-India 50th anniversary; article also cites the 1982 delegation (Dong-A 1982-01-19) and Hwang Su-yŏng 1962-63 (Kyonghyang 1963-05-11)",NEWS,https://www.hyunbulnews.com/articleView.html?idxno=408238,Hyunbul News (현대불교신문),2026-08-16,INSTITUTIONAL,
S-0063,hyunbul_hyoseok,"Hyunbul News (2021-10-14), '[모정불심] 19. 효석 스님의 어머니'",NEWS,http://www.hyunbulnews.com/news/articleView.html?idxno=402639,Hyunbul News (현대불교),2026-08-16,POPULAR,
S-0064,hyunbul_jikong_2017,"Hyunbul News 2017-01-26: '지공·나옹… 재점화된 禪宗' - Jikong's representative disciples: Naong (Kongmin's preceptor), Baegun Gyeonghan (Jikji author), Muhak Chach'o (T'aejo's preceptor), Ch'ukwŏn Chich'ŏn; revival of studies on Jikong's Seon lineage",NEWS,https://www.hyunbulnews.com/news/articleView.html?idxno=290135,Hyunbul News (현대불교신문),2026-08-16,INSTITUTIONAL,
S-0065,hyunbulnews_bunhwangsa_2022,"Hyunbul News (2022-05-19): Jogye 150-person official delegation led by 총무원장 Wonhaeng, '공식대표단 첫 순례', Bunhwangsa India dedication",NEWS,https://www.hyunbulnews.com/news/articleView.html?idxno=405034,Hyunbul News (현대불교신문),2026-08-16,INSTITUTIONAL,
S-0066,hyunbulnews_gbs2023,"Hyunbul News (2023-04-27, 임은호): '조계종, 제1회 글로벌 부디스트 서밋 참가' - GBS 2023 held 20-21 Apr at Ashok Hotel, New Delhi; Jogye 해외특별교구 교구장 직무대행 정범 스님 attended as official representative on behalf of 총무원장; ~30 countries, 500+ leaders; PM Modi, Culture Minister Kishan Reddy",NEWS,https://www.hyunbulnews.com/news/articleView.html?idxno=408978,Hyunbul News (현대불교신문),2026-08-16,INSTITUTIONAL,
S-0067,iats_lokesh,"IATS oral history interview, Lokesh Chandra",ARCHIVAL,https://oralhistory.iats.info/interviews/lokesh-chandra,International Association for Tibetan Studies,2026-08-16,INSTITUTIONAL,
S-0068,ibcworld_gbs2023,"IBC official event file: Global Buddhist Summit 2023 - 700+ delegates, ~175 overseas from 31 countries",PRIMARY,https://ibcworld.org/events/view/35,International Buddhist Confederation (IBC),2026-08-16,AUTHORITATIVE,
S-0069,ibcworld_gbs2026,"International Buddhist Confederation, official event file: 2nd Global Buddhist Summit 2026 (24-25 Jan 2026)",PRIMARY,https://www.ibcworld.org/docs/event_files/2nd%20GBS%202026.pdf,International Buddhist Confederation (IBC),2026-08-16,AUTHORITATIVE,
S-0070,ibcworld_icybs2025,"IBC official event report: 3rd ICYBS 22 Aug 2025, Dr Ambedkar International Centre, New Delhi; IBC + Ministry of Culture + Ministry of Social Justice & Empowerment; theme 'Wisdom Transmission in Buddha Dhamma in the 21st Century'; no Korean participant named",PRIMARY,https://www.ibcworld.org/events/view/140,International Buddhist Confederation (IBC),2026-08-16,AUTHORITATIVE,
S-0071,ibulgyo_bunhwangsa_2020,"Ibulgyo (2020-02-06): Bunhwangsa India construction start 2020-03-28, completion targeted 2022",NEWS,https://www.ibulgyo.com/news/articleView.html?idxno=204382,Ibulgyo (불교닷컴),2026-08-16,INSTITUTIONAL,
S-0072,ibulgyo_doseokgi_2026,Ibulgyo (불교신문) 2026-03-03: '성지(聖地)로 향하는 배에서 조선 불교의 미래를 고민하다' - paper on Lee Young-jae's 도석기 (space heterotopia; Buddhist college vision),NEWS,https://www.ibulgyo.com/news/articleView.html?idxno=435895,Ibulgyo (불교신문),2026-08-16,INSTITUTIONAL,
S-0073,ibulgyo_hoeamsa_relic_2024,Ibulgyo 2024: '회암사 3여래2조사 사리' - Jogye Order had a separate sarira reliquary made for the returned Hoeamsa relics,NEWS,https://www.ibulgyo.com/news/articleView.html?idxno=413032,Ibulgyo (불교신문),2026-08-16,INSTITUTIONAL,
S-0074,ibulgyo_jogye50th_2023,"Ibulgyo (불교신문) 2023-03-22, 홍다영: '조계종 한국-인도 수교 50주년 기념 부처님 나라에서 문화교류' - 21 Mar 2023 temple-food dinner at ROK ambassador's residence (Jang Jae-bok); NGMA exhibition '부처님의 땅! 인도에서 한국문화를 만나다' 22 Mar-30 Apr; ~40 attendees incl. Apurva Chandra; Jugyeong (중앙종회의장) represented Jogye",NEWS,https://www.ibulgyo.com/news/articleView.html?idxno=400517,Ibulgyo (불교신문),2026-08-16,INSTITUTIONAL,
S-0075,ibulgyo_lee_youngjae_2021,"Ibulgyo (불교신문) 2021-02-03, 이성수: '[한국불교 격동 100년] <1> 근대 최초 인도 순례한 이영재 스님' - full biography: born 1900 Cheongju; ordained 1918 Beopjusa; Nihon Univ 1920-23; Tokyo Imperial Univ Indian Philosophy (Sanskrit/Pali); departed Yokohama 1925-11-09 on Hakusan Maru; Ceylon Dec 1925; died 1927-10-12 in Ceylon aged 28; wrote 도석기/남국기/석란의 불교; drew taegeukgi for Mahabodhi Society Vesak in Kandy; Dong-A Ilbo 1927-10-27 obituary",NEWS,https://www.ibulgyo.com/news/articleView.html?idxno=210248,Ibulgyo (불교신문),2026-08-16,INSTITUTIONAL,
S-0076,ibulgyo_wookwan,"Bulgyo Shinmun (2022-07-28), '조계종 사찰음식명장 우관스님을 만나다'",NEWS,http://www.ibulgyo.com/news/articleView.html?idxno=219282,Bulgyo Shinmun (불교신문),2026-08-16,POPULAR,
S-0077,ibulgyo_zimmermann_2026,"Ibulgyo (불교신문) 2026-04-15: '독일학자 찐머만, 근대 구법승 이영재 스님 재조명' - German scholar Zimmermann re-examines Lee Young-jae as first modern Korean Buddhist pilgrim",NEWS,https://www.ibulgyo.com/news/articleView.html?idxno=437401,Ibulgyo (불교신문),2026-08-16,INSTITUTIONAL,
S-0078,ics_vyj,"Institute of Chinese Studies faculty listing, Vyjayanti Raghavan",WEBSITE,https://www.icsin.org/faculty/vyjayanti-raghavan,Institute of Chinese Studies,2026-08-16,INSTITUTIONAL,
S-0079,idsa_panikkar,"MP-IDSA, 'Beyond Abstention: India, the Korean War Legacy...' (Jul 2025)",SECONDARY,https://idsa.in/publisher/comments/beyond-abstention-india-the-korean-war-legacy-and-contemporary-conflicts,Manohar Parrikar IDSA,2026-08-16,ACADEMIC,
S-0080,indianarrative_sangwol2023,India Narrative (2023-03-22): Sangwol Society 200-strong foot pilgrimage Sarnath->Shravasti; Yogi Adityanath outreach to Korean monks,NEWS,https://www.indianarrative.com/culture/yogi-adityanath-reaches-out-to-korean-monks-in-bid-to-revive-buddhist-ties-with-asia/,India Narrative,2026-08-16,POPULAR,
S-0081,indianexpress_gandhi,"Indian Express (15 Aug 2021), 'How India's independence movement influenced Korea's struggle for freedom from Japanese rule'",NEWS,https://indianexpress.com/article/research/how-indias-independence-movement-influenced-koreas-struggle-for-freedom-from-japanese-rule-7454485/,Indian Express,2026-08-16,POPULAR,
S-0082,jnu_kaushal,"JNU CKS faculty profile, Kaushal Kumar",WEBSITE,https://www.jnu.ac.in/index.php/content/kkaushaljnu,Jawaharlal Nehru University,2026-08-16,INSTITUTIONAL,
S-0083,jnu_neerja,"JNU CKS faculty profile, Neerja Samajdar",WEBSITE,https://www.jnu.ac.in/index.php/content/neerjasingh,Jawaharlal Nehru University,2026-08-16,INSTITUTIONAL,
S-0084,jnu_ravikesh,"JNU CKS faculty profile, Ravikesh",WEBSITE,https://www.jnu.ac.in/index.php/content/ravikesh,Jawaharlal Nehru University,2026-08-16,INSTITUTIONAL,
S-0085,jogyesa_2014_pilgrimage,"Jogye Order official news (2014): 순례단 pilgrimage to 8 sacred sites + Nepal (13N14D, 19 Feb-4 Mar 2014) incl. Yeoraesunwon visit at Bodh Gaya",WEBSITE,https://www.jogyesa.kr/board/news/board_view.php?num=3148,Jogye Order (jogyesa.kr),2026-08-16,INSTITUTIONAL,
S-0086,joongang_tagore,"JoongAng Ilbo 분수대 (2012-12-10), 'Reading between the lines on Tagore'",NEWS,https://www.joongang.co.kr/article/10131809,JoongAng Ilbo,2026-08-16,POPULAR,
S-0087,jungto_india,"Jungto Society official India pilgrimage program: 36th pilgrimage 14-30 Jan 2027 (16N17D, 500 persons, registration from 2026-05-25); annual program",WEBSITE,https://www.jungto.org/india/,Jungto Society (jungto.org),2026-08-16,INSTITUTIONAL,
S-0088,kaavyaalaya_divik,"Kaavyaalaya poet profile, Divik Ramesh",WEBSITE,https://kaavyaalaya.org/en/p/divik-ramesh,Kaavyaalaya,2026-08-16,INSTITUTIONAL,
S-0089,kashmirlife_aga,"Kashmir Life, 'Former Jammu Kashmir Chief Secretary Syed Muzaffar Aga Dies at 108'",NEWS,https://kashmirlife.net/former-jammu-kashmir-chief-secretary-syed-muzaffar-aga-dies-at-108-444065/,Kashmir Life,2026-08-16,POPULAR,
S-0090,kbpf_india2026,"Korea Buddhism Promotion Foundation (대한불교진흥원) official notice (2026-07-02): 2026 India pilgrimage 3-11 Oct 2026 (8N9D), Dharamsala/Ajanta-Ellora/Sanchi, Air India",WEBSITE,https://www.kbpf.org/?bmode=view&idx=172150129,Korea Buddhism Promotion Foundation (kbpf.org),2026-08-16,INSTITUTIONAL,
S-0091,kbs_woj_2010,"KBS News 2010-12-17: '1283년만에 한국 온 왕오천축국전' - the BnF manuscript arrived in Korea for the NMK '실크로드와 둔황' exhibition; first public display in 1,283 years",NEWS,https://news.kbs.co.kr/news/view.do?ncd=2211998,KBS News,2026-08-16,INSTITUTIONAL,
S-0092,kci_choi,"Choi Seong-woo / Choi Dong-ho, Tagore reception studies, KCI (ART002541946 / ART001612260)",SECONDARY,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002541946,KCI,2026-08-16,ACADEMIC,
S-0093,kci_han_tagore,"Comparative Han Yong-un / Tagore study, KCI (ART002442623)",SECONDARY,https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART002442623,KCI,2026-08-16,ACADEMIC,
S-0094,kci_hong,"Hong Eun-taek, 'The Problems of Korean Translation of Tagore's Poetry' (2014), KCI",SECONDARY,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001914468,KCI,2026-08-16,ACADEMIC,
